condition,run_id,true_stage,q_hat,p_raw_E,p_raw_M,p_raw_L,p_fine_E,p_fine_M,p_fine_L,p_prior_E,p_prior_M,p_prior_L,p_raw_fine_E,p_raw_fine_M,p_raw_fine_L,p_raw_prior_E,p_raw_prior_M,p_raw_prior_L,p_mix_E,p_mix_M,p_mix_L,alpha_E,alpha_M,alpha_L,p_final_E,p_final_M,p_final_L,pred_A1,pred_A2,pred_A3,pred_A4,pred_A5,pred_A6
C6,22,early,0.30778018,0.94964314,0.035765678,0.014591185,0.4649924566593221,0.4980694577380585,0.0369380856016194,0.5288969506235699,0.4710913483327869,1.1701042750363144e-05,0.8006376786328226,0.1690377061889767,0.0303246151772007,0.8166138039688375,0.1622931780587744,0.021093017971388,0.8118209663680331,0.164316536497835,0.0238624971331318,0.9849939868335208,0.0148271433295173,0.0001788698356507,0.8551142214844716,0.1269441882057655,0.0179415903087629,early,early,early,early,early,early
C6,23,early,0.30768856,0.9508516,0.03443243,0.014715966,0.4686662186876286,0.4939429835382681,0.0373907977731033,0.5292376468565733,0.4707506923672799,1.166077525401026e-05,0.8027493550293384,0.1666481678276835,0.030602477141978,0.8178922128895086,0.1608500947217437,0.0212576923877476,0.8133493555314577,0.1625895166535256,0.0240611278140166,0.9852851290574116,0.0145356033121028,0.0001792676291773,0.8563332989130121,0.1255760383181796,0.0180906627678082,early,early,early,early,early,early
C6,24,early,0.3082663,0.95139664,0.03371794,0.014885404,0.4709074269365643,0.4912081173237436,0.0378844557386921,0.5270867109999413,0.4729013719867704,1.1917012394867674e-05,0.8038351493799373,0.1652290181210503,0.0309358324980124,0.8178799704219097,0.1606523317782814,0.0214676977988089,0.813666524109318,0.162025337681112,0.0243081382085699,0.9853979752243542,0.0144213317278501,0.0001806930464881,0.856599386888143,0.1251243361928062,0.0182762769180508,early,early,early,early,early,early
C6,25,early,0.30879354,0.9520503,0.0329923,0.014957392,0.4729479357505058,0.4888556324782103,0.0381964317702837,0.5251189789277461,0.474868865412336,1.2155659024060536e-05,0.8049971950768565,0.1638943644863967,0.0311084404357467,0.8180399562598395,0.160397672615717,0.0215623711234433,0.8141271279049448,0.1614466801769209,0.0244261919171343,0.9854790871008896,0.01433953363014,0.0001813792676635,0.8569651177039966,0.1246698935402352,0.018364988754768,early,early,early,early,early,early
C6,26,early,0.30929556,0.9526054,0.032249484,0.015145076,0.4754336249143141,0.4858974328020934,0.0386689422825924,0.5232410672736918,0.4767465454802176,1.2387245196169328e-05,0.8061581526405676,0.1623835552861298,0.0314582920723027,0.8181100134975262,0.1600958334045237,0.0217941530969499,0.8145244552404387,0.1607821499690055,0.0246933947895557,0.985558732964774,0.0142580638054729,0.0001832032284469,0.8572830246715882,0.1241511284281319,0.0185658468992799,early,early,early,early,early,early
C6,27,early,0.30984277,0.9526782,0.03192352,0.01539819,0.4761894909393584,0.4845896187004231,0.0392208903592185,0.5211894326650928,0.4787979227331805,1.2644600831587789e-05,0.8063890838259454,0.1617116292906083,0.0318992868824463,0.8176390695507153,0.160263705261037,0.0220972251872476,0.8142640738332845,0.1606980824699084,0.0250378436958072,0.9855753778719456,0.0142388503192724,0.0001857718074755,0.8570918998430154,0.1240832744322589,0.0188248257237257,early,early,early,early,early,early
C6,28,early,0.31028926,0.9526911,0.03164881,0.015660143,0.4770618677134511,0.483225382863992,0.0397127494215568,0.5195117463091272,0.4804753952186396,1.28584713376096e-05,0.8065879582860681,0.16107789865799,0.0323341430549418,0.8172004278558888,0.1603904017517705,0.0224091703913406,0.8140166869849427,0.1605966508236363,0.0253866621904209,0.9855811448321684,0.014230378484023,0.0001884766825017,0.8569078014468149,0.1240050827387425,0.0190871158134426,early,early,early,early,early,early
C6,29,early,0.31039134,0.9527084,0.03138044,0.015911154,0.4781194431355513,0.4817300986529872,0.0401504582104615,0.5191277605202137,0.4808593316194821,1.2907859408492467e-05,0.8068402909614681,0.1604179860331704,0.0327417230043614,0.8170923699638769,0.1602002942820888,0.0227073357530341,0.8140167462631542,0.1602656018074132,0.0257176519284322,0.9856092387893634,0.0141997433271663,0.0001910178821635,0.8569148693947723,0.123749137187361,0.0193359934168665,early,early,early,early,early,early
C6,30,early,0.31010622,0.9528975,0.031157268,0.015945172,0.4787560844045883,0.4809044184055412,0.0403394971888704,0.5201999197345848,0.479787309896644,1.27703678757471e-05,0.8071891944360845,0.1599788669175057,0.0328319386454096,0.8175501539633111,0.1596995897715505,0.0227502562641385,0.8144418661051431,0.159783372915337,0.0257747609785198,0.9856643647063204,0.0141442397527236,0.0001913955396499,0.8572474907555031,0.1233735896246931,0.0193789196188038,early,early,early,early,early,early
C6,31,early,0.31003374,0.95328104,0.031030487,0.015688404,0.4792611813210157,0.4806221379613006,0.0401166807166837,0.5204722602347004,0.4795150041184239,1.2735645980238448e-05,0.8077386159674536,0.1597845255414584,0.0324768584900879,0.8180413850433719,0.159507742098264,0.0224508728573639,0.8149505543205965,0.1595907771312223,0.0254586685471811,0.9857033883356392,0.0141077365643154,0.0001888750987401,0.8576387628244226,0.123220016989505,0.0191412201850723,early,early,early,early,early,early
C6,32,early,0.3103569,0.9533239,0.030969322,0.015706774,0.4793385440278854,0.4804944456980001,0.0401670102731143,0.5192573815610287,0.48072972726879,1.2891169285760124e-05,0.8077997129938171,0.1596884185483299,0.0325118684568527,0.8177794221540102,0.1597472389397084,0.0224733389052811,0.8147855094059525,0.1597295928222949,0.0254848977707525,0.9856956524433332,0.0141153735670765,0.0001889739882845,0.8575130451653633,0.1233260380084997,0.019160916825137,early,early,early,early,early,early
C6,33,early,0.3106518,0.9530983,0.030766359,0.016135378,0.4801630908324991,0.4794085034436802,0.0404284057228208,0.5181471339927031,0.4818398312733198,1.3034733081047056e-05,0.8077253478048918,0.1591924582701749,0.0330821939239333,0.8172213590547946,0.1598002902570167,0.0229783506871886,0.8143725556798238,0.1596179406609642,0.0260095036582119,0.9856928630192004,0.0141141618202804,0.0001929751592131,0.8572026325147336,0.1232419959508027,0.0195553715334637,early,early,early,early,early,early
C6,34,early,0.3106452,0.95333576,0.030632988,0.016031312,0.4804145276696098,0.4792745515429111,0.040310920786479,0.518172055882834,0.4818149126209124,1.3031495357523905e-05,0.8080437465934228,0.1590232378992278,0.0329330155063492,0.8174831285763715,0.1596583281639917,0.0228585432586365,0.814651313981487,0.1594678010845626,0.0258808849329502,0.985711801970283,0.0140961069268177,0.0001920911015934,0.8574164359787517,0.1231248775451358,0.0194586864751125,early,early,early,early,early,early
C6,35,early,0.31085083,0.95326704,0.030555598,0.016177265,0.4804638951752804,0.4790743619716017,0.0404617428521178,0.5173971277944824,0.4825897397079864,1.3132496634865337e-05,0.807969465455782,0.1588880572842944,0.0331424772589236,0.8172027740233154,0.1597669017576731,0.0230303242180114,0.8144327814530554,0.1595032484156595,0.026063970130285,0.9857072421371424,0.0140993117068086,0.0001934461547429,0.8572513966241427,0.1231522642384562,0.019596339136401,early,early,early,early,early,early
C6,36,early,0.3107693,0.9533355,0.030507527,0.016157001,0.4807630104646022,0.4787005107186224,0.0405364788157753,0.5177044848702916,0.482282422772823,1.3092355989124292e-05,0.8081167620641019,0.1587450737664102,0.0331381641684878,0.8173521308375182,0.1596405517966352,0.0230073173648465,0.8145815202054933,0.1593719083875677,0.0260465714059389,0.9857206913357752,0.0140859742201143,0.0001933344428046,0.8573663129881294,0.1230504248457137,0.0195832621651568,early,early,early,early,early,early
C6,37,early,0.31063253,0.95346683,0.03037807,0.016155168,0.4809708429246065,0.4783135409630708,0.0407156161113227,0.518219764744044,0.4817672099558487,1.3025299211219718e-05,0.8083040287485653,0.158513309357354,0.0331826618930806,0.8176162594462318,0.1593767266280591,0.023007013924709,0.8148225902369319,0.1591177014468475,0.0260597083152204,0.9857495677863806,0.0140570740699302,0.0001933581423836,0.8575543346243597,0.1228525446026276,0.0195931207720127,early,early,early,early,early,early
C6,38,early,0.31032658,0.9536363,0.030271579,0.016092181,0.4814724516534658,0.4778644149477974,0.0406631333977367,0.5193714008190674,0.4806157226765281,1.2876503508683417e-05,0.8086108313297556,0.1582917393806604,0.0330974292885838,0.818085568444647,0.1589795663000267,0.0229348652543263,0.8152431473101797,0.1587732182242168,0.0259836344646035,0.9857931094076792,0.0140142269658296,0.0001926636251862,0.8578806378346199,0.1225834704096293,0.0195358917547507,early,early,early,early,early,early
C6,39,early,0.31011748,0.95368373,0.030261625,0.016054684,0.4812135279625881,0.4781312971606278,0.040655174875784,0.520157582838537,0.4798296413876258,1.2775772941802174e-05,0.808599086564876,0.1583491988932827,0.0330517145408412,0.8183351007916072,0.1587737849721717,0.0228911142352211,0.8154142965235878,0.158646409148505,0.0259392943269071,0.9858159537910172,0.0139918296040806,0.0001922166035974,0.8580147108405106,0.1224827642624082,0.0195025248960812,early,early,early,early,early,early
C6,40,early,0.31012213,0.95363855,0.03032416,0.01603735,0.4812945252989697,0.4781094802418277,0.0405959944582025,0.5201401098684922,0.4798471121263547,1.2778004257506886e-05,0.8085746588848319,0.1584095975825802,0.0330157435315879,0.8182860551357173,0.1588440055585623,0.0228699393047204,0.8153726362604518,0.1587136831657677,0.0259136805727806,0.985814050896416,0.0139939586690302,0.0001919904332489,0.8579829899195082,0.1225337520415926,0.0194832580378992,early,early,early,early,early,early
C6,41,early,0.31012973,0.9536878,0.030323312,0.015988898,0.480960781623877,0.4784489300033323,0.0405902883717907,0.5201115475277638,0.4798756708189178,1.2781652422915675e-05,0.8085473455753334,0.1584950554098395,0.0329575990138271,0.8183350375799754,0.1588517406329984,0.0228132217860263,0.8153987299785826,0.1587447350660507,0.0258565349543665,0.9858118016531427,0.0139966424924596,0.000191555853093,0.858001997897288,0.1225577119226623,0.0194402901790496,early,early,early,early,early,early
C6,42,early,0.30962062,0.95382214,0.030265007,0.015912862,0.4812656271264266,0.4782051559055262,0.0405292169670472,0.5220229237696207,0.4779645367329654,1.2539496518974247e-05,0.8087703926787004,0.158375514613169,0.0328540927071305,0.8189597170102816,0.1583153598190163,0.022724923169702,0.8159029197108074,0.1583334062572621,0.0257636740309305,0.9858563391146092,0.0139529130965869,0.0001907477875,0.8583912745618231,0.1222382829671026,0.0193704424700744,early,early,early,early,early,early
C6,43,early,0.30968666,0.9538259,0.030202176,0.015971893,0.4815802157509062,0.4777723058223531,0.0406474784257407,0.5217752193254015,0.4782122100204903,1.2570653213177438e-05,0.8088464322976637,0.1581998549299891,0.0329537127713471,0.8188951835468864,0.1583098309834112,0.0227949854687023,0.8158805581721196,0.1582768381673846,0.0258426036594957,0.9858689986851128,0.0139397484230198,0.0001912528905638,0.858377668300433,0.1221925657313027,0.0194297659672642,early,early,early,early,early,early
C6,44,early,0.30943763,0.953919,0.030132025,0.01594906,0.4818580121835352,0.4774632832475792,0.0406787045678855,0.522708880075516,0.4772786663598471,1.2453563742147232e-05,0.809014287173379,0.158049940924618,0.032935771901003,0.8192270044887529,0.1580037867011335,0.0227692088091135,0.8161631892941407,0.1580176329681789,0.0258191777366803,0.9858990797265536,0.0139099023010481,0.0001910179710946,0.8585971619023091,0.1219907003014055,0.0194121377952854,early,early,early,early,early,early
C6,45,early,0.309207,0.9541297,0.030034427,0.015835853,0.4823073744769042,0.477118071168184,0.0405745543539118,0.5235726931154238,0.4764149608096404,1.2346074041353566e-05,0.8093566444003516,0.1578649773124099,0.0327783782862383,0.819672973675639,0.1576891997293182,0.0226378265940427,0.8165780748930528,0.1577419330042457,0.0256799921017013,0.9859369768266194,0.0138731726146718,0.0001898505574061,0.8589178003765094,0.1217747429068615,0.019307456715629,early,early,early,early,early,early
C6,46,early,0.3092773,0.9540787,0.030083861,0.015837535,0.4821588885296778,0.4772817758328513,0.0405593356364708,0.5233094784524159,0.4766781428043929,1.2378742296628308e-05,0.8092665682403904,0.1579575840425594,0.0327758477160501,0.8195542165258596,0.1578066757736351,0.0226391076995053,0.8164679220402189,0.1578519482543124,0.0256801297044687,0.9859328674295076,0.0138773448971091,0.0001897876720803,0.8588341583876061,0.1218582974150208,0.019307544196373,early,early,early,early,early,early
C6,47,early,0.3092726,0.9540123,0.030149085,0.01583869,0.4828041838132285,0.4766461153582723,0.0405497008274991,0.5233271104608037,0.4766605129866894,1.2376551612264046e-05,0.8093592765695503,0.1578668508467999,0.0327738725826498,0.8194900088918634,0.1578704502541346,0.0226395408530018,0.8164507891951696,0.1578693704319342,0.0256798403718961,0.985930246021924,0.0138799613638525,0.0001897926129204,0.8588206534019234,0.121872018164923,0.0193073284321537,early,early,early,early,early,early
C6,48,early,0.30921546,0.9539957,0.030149475,0.015854927,0.4822719531484803,0.4771945018512062,0.0405335449993134,0.5235410090081155,0.4764466409884971,1.2350002493008934e-05,0.809207277495814,0.1580038526738295,0.0327888698293564,0.819524541537563,0.1578168874567552,0.0226585710046817,0.8164293623250385,0.1578729770218774,0.0256976606520841,0.9859289220787336,0.0138811451415143,0.0001899327784492,0.8588042522635273,0.1218750190517959,0.0193207286836768,early,early,early,early,early,early
C6,49,early,0.30946785,0.953901,0.030205633,0.015893444,0.4822086925379319,0.4772377841322239,0.0405535233288441,0.5225956345479091,0.4773918977358513,1.2467715344912596e-05,0.8090895270205829,0.1580722272256726,0.0328382457527445,0.8191862632000869,0.1581107556291587,0.0227029811697542,0.8161572423462358,0.1580991971081129,0.0257435605446512,0.9859041056428292,0.0139055574054903,0.000190336950377,0.8585939581704493,0.1220507871824665,0.0193552546460842,early,early,early,early,early,early
C6,50,early,0.30960348,0.95383674,0.03026711,0.015896171,0.4816749322159997,0.4778051305139483,0.040519937269052,0.5220871856094437,0.4779002829651971,1.2531424464272882e-05,0.8088896096676782,0.158278213521352,0.0328321768099697,0.8189926734676523,0.1583020016352235,0.0227053248961242,0.81596175432766,0.158294865201062,0.0257433804702778,0.985878950374026,0.0139306264674963,0.0001904231571741,0.8584410533393168,0.1222038055176799,0.0193551411420033,early,early,early,early,early,early
C6,51,early,0.309708,0.95361793,0.030357618,0.016024496,0.4815031307986896,0.4779259654797527,0.0405709037205577,0.521695169624383,0.4782922496384248,1.2580736297281949e-05,0.8086070124811704,0.1583990365990159,0.0329939509188136,0.8186550221875648,0.1584906076386797,0.0228543701727555,0.8156406192756465,0.1584631363267805,0.0258962443965729,0.985852767321626,0.0139555710974603,0.0001916615796095,0.8581936562872067,0.1223362450194598,0.0194700986923335,early,early,early,early,early,early
C6,52,early,0.30985945,0.9535692,0.030381756,0.016049141,0.4811354183215336,0.4782218839190534,0.0406426977584128,0.5211267820935248,0.4788605653737493,1.265253183097168e-05,0.808462135860906,0.1584974726270216,0.0330403915110723,0.8184599765617833,0.1586571429868249,0.0228828804503918,0.8154606243515201,0.1586092418788839,0.0259301337685959,0.985831747304698,0.0139762261846251,0.0001920265093723,0.8580534050898799,0.1224509879553285,0.0194956069537915,early,early,early,early,early,early
C6,53,early,0.31034297,0.9532338,0.030504445,0.016261758,0.481205630794694,0.4780085981103552,0.0407857710939508,0.5193097403308072,0.4806773752354754,1.2884432821810784e-05,0.8081114514922656,0.1585656738680216,0.0333228746387127,0.8176374786455983,0.1592328681331413,0.0231296532202601,0.8147796704995985,0.1590327098536054,0.0261876196457958,0.9857772431831548,0.0140286310219702,0.0001941257935694,0.8575290636705533,0.122781690145706,0.0196892461827407,early,early,early,early,early,early
C6,54,early,0.31057817,0.95307857,0.030556556,0.01636491,0.4808700626986501,0.4782006165581561,0.0409293207421938,0.518424490631961,0.4815625106275678,1.2998739575161966e-05,0.8078567816338864,0.1586648916998378,0.0334783266652757,0.8172453882674329,0.1595053651858758,0.023249246545691,0.814428806277369,0.1592532231400644,0.0263179705815664,0.9857405115591116,0.0140641747721294,0.0001953136674528,0.8572567325978704,0.1229559610480901,0.0197873063530395,early,early,early,early,early,early
C6,55,early,0.31067303,0.9528272,0.03068051,0.016492227,0.4802874326701129,0.478720121085165,0.0409924462437219,0.5180671995771249,0.4819197552995288,1.3045122450214429e-05,0.8074393139806443,0.1589200659617641,0.0336406200565915,0.8168842559008873,0.1597199745317397,0.0233957695663729,0.8140507733248145,0.159480001960747,0.0264692247134384,0.9857059623077468,0.0140974264264492,0.0001966112644973,0.8569645705706133,0.123134358077182,0.0199010713512046,early,early,early,early,early,early
C6,56,early,0.31107557,0.9527176,0.03076224,0.016520152,0.4797330486610532,0.4791781517368622,0.0410887996010846,0.5165494347489932,0.4834373214920465,1.3243758063911414e-05,0.8071851695911082,0.159118817977367,0.0336960124305247,0.8163892659073376,0.1601836103923581,0.0234271236993042,0.8136280370124688,0.1598641726678608,0.0265077903186703,0.9856581407558156,0.0141447773001017,0.0001970819427751,0.8566355629483715,0.1234343238259305,0.019930113224698,early,early,early,early,early,early
C6,57,early,0.31170356,0.9523671,0.030989844,0.016642923,0.4787250441355498,0.4800872784844929,0.0411876773789572,0.5141764384633581,0.485810001958372,1.355957737280015e-05,0.80656075564846,0.1595790898906447,0.0338601544598952,0.8154236039992676,0.1610097707218013,0.0235666252779309,0.8127647494940254,0.1605805664724543,0.0266546840325201,0.985569929813244,0.0142316198216018,0.0001984503638455,0.8559660445738961,0.1239933298097508,0.020040625615353,early,early,early,early,early,early
C6,58,early,0.31208268,0.9523133,0.0309923,0.01669436,0.4795268964868407,0.4790910859604361,0.041382017551723,0.5127408584044896,0.4872453878008207,1.3753793791942334e-05,0.8067005351938689,0.1593310277809198,0.0339684370242112,0.8150040253948578,0.1613696031726617,0.0236263714314803,0.8125129783345612,0.1607580305551392,0.0267289911092995,0.9855318544802888,0.0142689167240923,0.0001992287943097,0.8557676973710592,0.1241357520973871,0.0200965505305536,early,early,early,early,early,early
C6,59,early,0.3124793,0.951764,0.031294335,0.016941708,0.4779761500141835,0.4805431617528569,0.0414806882319596,0.5112366203350074,0.4887494197760661,1.3959888028437683e-05,0.805724535756706,0.1600000390714769,0.0342754251708169,0.814039652903218,0.162051603470276,0.0239087436255058,0.8115451177592645,0.1614361341506363,0.0270187480890991,0.9854457209293748,0.0143525868548714,0.0002016922144432,0.8550202685518585,0.1246652473267047,0.0203144841204367,early,early,early,early,early,early
C6,60,early,0.31273922,0.95181066,0.031478588,0.016710754,0.4771848685907893,0.481525051370431,0.0412900800377796,0.5102494188632087,0.4897364845372298,1.4096598663036304e-05,0.8055989742434142,0.1604436110758411,0.0339574146797445,0.8138651115651421,0.1624964693063552,0.0236384191275025,0.8113852703686237,0.161880611837201,0.026734117793175,0.9853888826154634,0.0144113171166547,0.0001998002665709,0.8548861734304002,0.1250132881570742,0.0201005384115256,early,early,early,early,early,early
C6,61,early,0.3130735,0.9513408,0.031741366,0.016917884,0.4761721353434823,0.4825060827375398,0.0413217819179778,0.5089783937417208,0.4910073319282955,1.4274329084971236e-05,0.8048439648192416,0.160954453841802,0.0342015813379564,0.813045529632647,0.163079766194907,0.023874704171446,0.8105850601886254,0.1624421724889755,0.026972767321399,0.985311647830717,0.014486566738545,0.0002017854294256,0.854266707099215,0.1254532710513777,0.0202800218484073,early,early,early,early,early,early
C6,62,early,0.3128292,0.95146877,0.03187319,0.016658092,0.4759836757477554,0.4829877243708629,0.0410285998803816,0.5099074682672575,0.4900783875079246,1.4144223919324875e-05,0.8049555632289193,0.1612192045416876,0.033825232228393,0.813436510805873,0.1629918702103829,0.023571618982744,0.810892226532787,0.1624600705097743,0.0266477029564386,0.985302464607418,0.0144980832427893,0.0001994521484808,0.8544947860515113,0.1254695736930378,0.0200356402544507,early,early,early,early,early,early
C6,63,early,0.31355837,0.95071906,0.032271545,0.017009411,0.4746288831437767,0.4840630688198976,0.0413080480353257,0.5071315782294382,0.4928538857179222,1.4536051740185828e-05,0.8038154944625282,0.1618882037179245,0.0342963018185472,0.8119411684458105,0.1640859079997345,0.0239729235534549,0.8095034662508258,0.1634265967151915,0.0270699370329825,0.9851870989353212,0.0146100302419964,0.0002028708213685,0.8534243744220167,0.1262224550969027,0.0203531704800806,early,early,early,early,early,early
C6,64,early,0.3137321,0.9505764,0.032497063,0.016926419,0.4748289936198276,0.4839713702044793,0.0411996361746931,0.5064690501594765,0.4935163188829779,1.463095664606084e-05,0.8037298810917282,0.162100165371829,0.0341699535354427,0.8116398950350779,0.1644864024836665,0.0238737024802555,0.809266890852073,0.1637705313501153,0.0269625777968116,0.9851300353354052,0.0146675693881046,0.0002023952751756,0.8532326769729731,0.1264947908596225,0.0202725321664042,early,early,early,early,early,early
C6,65,early,0.31490836,0.9484244,0.03346889,0.018106727,0.4748849744933758,0.4827092722837088,0.0424057532219154,0.5019709702349664,0.4980137400447172,1.5289719415486194e-05,0.8014421566398732,0.1627443829087292,0.0358134604503976,0.8082136556887618,0.1665704999131146,0.0252158443971235,0.8061822059740953,0.165422664811799,0.0283951292131057,0.9849050234776476,0.0148809908421522,0.000213985678881,0.8508629103500511,0.1277872463193975,0.0213498433295512,early,early,early,early,early,early
C6,66,early,0.31548768,0.9479145,0.033958685,0.01812677,0.4759326665831193,0.482064975091053,0.0420023583248276,0.4997480159653534,0.500236359283199,1.5624750546055148e-05,0.8011892071862401,0.1630826589354432,0.0357281338773165,0.8071430441325385,0.1676255046788506,0.0252314511876108,0.805356893048649,0.1662626509558283,0.0283804559945225,0.9847698882770944,0.0150152905111028,0.0002148212104821,0.8502101418558287,0.1284508108446573,0.0213390472985141,early,early,early,early,early,early
C6,67,early,0.31680593,0.9461505,0.035257667,0.018591866,0.4732081399825283,0.4845944453307859,0.0421974146856857,0.4946714647948333,0.5053121211085339,1.6414095729761807e-05,0.7986945045166941,0.1650189117681549,0.0362865837141509,0.8040603354898701,0.1701983304906932,0.0257413340184365,0.8024505861979172,0.1686445048739317,0.0289049089271507,0.9844702438997688,0.0153099980038153,0.0002197580950906,0.8479555006234492,0.1303108781564133,0.0217336212191375,early,early,early,early,early,early
C6,68,early,0.3171714,0.94454604,0.036672197,0.018781772,0.4702446478454746,0.4876482382323491,0.0421071139211761,0.4932596402724777,0.5067237199768209,1.6639749797968462e-05,0.7963411275726251,0.1672008396452007,0.0364580327811741,0.8020948757222209,0.1719697101168417,0.0259354141599372,0.8003687512773422,0.1705390489753494,0.0290921997463083,0.9841949823545256,0.0155826685972662,0.0002223490468794,0.8463253090467077,0.1317999538808395,0.0218747370714528,early,early,early,early,early,early
C6,69,early,0.3198522,0.9415495,0.03895948,0.01949102,0.4651450830139972,0.4923721719244122,0.0424827450605904,0.4828467973656561,0.5171348123495705,1.839028386648657e-05,0.7920454325097867,0.1706375575566474,0.037317009932566,0.7964708612378104,0.1768282178589552,0.0267009209022343,0.7951432326194033,0.1749710197682629,0.0298857476113338,0.9836244447205812,0.0161452262254411,0.0002303290526406,0.8422635356447687,0.1352645713825689,0.0224718929716624,early,early,early,early,early,early
