run_id,true_stage,pred_stage,p_E,p_M,p_L,method
62,early,early,0.8542,0.1258,0.02,B12
63,early,early,0.8531,0.1266,0.0203,B12
64,early,early,0.853,0.1268,0.0202,B12
65,early,early,0.8505,0.1282,0.0213,B12
66,early,early,0.8498,0.1289,0.0213,B12
67,early,early,0.8475,0.1308,0.0217,B12
68,early,early,0.8459,0.1323,0.0218,B12
69,early,early,0.8419,0.1357,0.0224,B12
70,early,early,0.8369,0.1401,0.0229,B12
71,early,early,0.8313,0.1453,0.0234,B12
72,early,early,0.8265,0.1499,0.0235,B12
73,early,early,0.8148,0.1605,0.0247,B12
74,early,early,0.8075,0.1674,0.0251,B12
75,early,early,0.7971,0.1771,0.0257,B12
76,early,early,0.8034,0.1712,0.0254,B12
77,early,early,0.7945,0.1798,0.0257,B12
78,early,early,0.8051,0.1703,0.0246,B12
79,early,early,0.8025,0.173,0.0245,B12
80,early,early,0.8125,0.1641,0.0234,B12
81,early,early,0.8111,0.1652,0.0237,B12
82,early,early,0.8162,0.1607,0.0231,B12
83,early,early,0.8142,0.1627,0.0231,B12
84,early,early,0.8156,0.1616,0.0228,B12
85,early,early,0.8129,0.1641,0.023,B12
86,early,early,0.8097,0.1673,0.023,B12
87,early,early,0.8217,0.1559,0.0224,B12
88,early,early,0.805,0.1713,0.0237,B12
89,early,early,0.8119,0.1653,0.0229,B12
90,early,early,0.7914,0.1839,0.0247,B12
91,early,early,0.8044,0.1719,0.0236,B12
92,early,early,0.7842,0.1904,0.0255,B12
93,early,early,0.795,0.1806,0.0244,B12
94,early,early,0.765,0.2083,0.0267,B12
95,early,early,0.7705,0.2032,0.0263,B12
96,middle,early,0.7255,0.245,0.0296,B12
97,middle,early,0.6742,0.2933,0.0325,B12
98,middle,early,0.637,0.3293,0.0337,B12
99,middle,middle,0.4755,0.4884,0.036,B12
100,middle,middle,0.3996,0.5642,0.0362,B12
101,middle,middle,0.2989,0.6644,0.0367,B12
102,middle,middle,0.2193,0.7436,0.0371,B12
103,middle,middle,0.1535,0.8086,0.0379,B12
104,middle,middle,0.1315,0.8292,0.0392,B12
105,middle,middle,0.1252,0.8326,0.0422,B12
106,middle,middle,0.1239,0.831,0.0451,B12
107,middle,middle,0.1208,0.8323,0.047,B12
108,middle,middle,0.1777,0.7699,0.0524,B12
109,middle,middle,0.1427,0.8083,0.049,B12
110,middle,middle,0.1631,0.7868,0.0501,B12
111,middle,middle,0.1357,0.8158,0.0485,B12
112,middle,middle,0.1653,0.7842,0.0505,B12
113,middle,middle,0.1252,0.8266,0.0482,B12
114,middle,middle,0.1345,0.8165,0.0491,B12
115,middle,middle,0.1083,0.8439,0.0478,B12
116,middle,middle,0.1167,0.8354,0.0479,B12
117,middle,middle,0.0991,0.8532,0.0477,B12
118,middle,middle,0.0878,0.8635,0.0487,B12
119,middle,middle,0.1345,0.8106,0.055,B12
120,middle,middle,0.0998,0.8428,0.0575,B12
121,middle,middle,0.1015,0.8426,0.0559,B12
122,middle,middle,0.0927,0.8495,0.0578,B12
123,middle,middle,0.1141,0.8223,0.0637,B12
124,middle,middle,0.093,0.8445,0.0625,B12
125,middle,middle,0.0901,0.8503,0.0596,B12
126,middle,middle,0.0815,0.86,0.0585,B12
127,middle,middle,0.092,0.8476,0.0604,B12
128,middle,middle,0.0837,0.8569,0.0595,B12
129,middle,middle,0.0722,0.8702,0.0577,B12
130,middle,middle,0.0695,0.8766,0.0539,B12
131,middle,middle,0.063,0.8872,0.0498,B12
132,middle,middle,0.0614,0.8929,0.0457,B12
133,middle,middle,0.056,0.9038,0.0402,B12
134,middle,middle,0.0557,0.9064,0.0379,B12
135,middle,middle,0.0535,0.9117,0.0348,B12
136,middle,middle,0.0534,0.9129,0.0336,B12
137,middle,middle,0.0516,0.9173,0.0312,B12
138,middle,middle,0.0512,0.9178,0.0311,B12
139,middle,middle,0.0504,0.92,0.0296,B12
140,middle,middle,0.0517,0.9191,0.0292,B12
141,middle,middle,0.0504,0.9209,0.0287,B12
142,middle,middle,0.0504,0.9209,0.0286,B12
143,middle,middle,0.0498,0.9215,0.0286,B12
144,middle,middle,0.0501,0.9209,0.029,B12
145,middle,middle,0.0495,0.9217,0.0288,B12
146,middle,middle,0.0496,0.9218,0.0286,B12
147,middle,middle,0.049,0.9221,0.0289,B12
148,middle,middle,0.0489,0.9222,0.0289,B12
149,middle,middle,0.0487,0.9224,0.0289,B12
150,middle,middle,0.0506,0.9202,0.0292,B12
151,middle,middle,0.0493,0.9216,0.0291,B12
152,middle,middle,0.0497,0.9215,0.0288,B12
153,middle,middle,0.0491,0.9214,0.0296,B12
154,middle,middle,0.0494,0.9205,0.0301,B12
155,middle,middle,0.0488,0.9204,0.0308,B12
156,middle,middle,0.0489,0.9206,0.0306,B12
157,middle,middle,0.0489,0.9195,0.0317,B12
158,middle,middle,0.0486,0.9196,0.0318,B12
159,middle,middle,0.0493,0.9191,0.0316,B12
160,middle,middle,0.0491,0.9201,0.0308,B12
161,middle,middle,0.0449,0.9191,0.0361,B12
162,middle,middle,0.0456,0.9195,0.0349,B12
163,middle,middle,0.0454,0.9196,0.035,B12
164,middle,middle,0.0453,0.9176,0.0371,B12
165,middle,middle,0.0443,0.9172,0.0386,B12
166,middle,middle,0.0445,0.9144,0.0411,B12
167,middle,middle,0.0432,0.9136,0.0432,B12
168,middle,middle,0.0432,0.9069,0.0498,B12
169,middle,middle,0.0432,0.8963,0.0605,B12
170,middle,middle,0.0447,0.8776,0.0777,B12
171,middle,middle,0.0459,0.8581,0.096,B12
172,middle,middle,0.0484,0.8446,0.107,B12
173,middle,middle,0.048,0.8337,0.1183,B12
174,middle,middle,0.0496,0.8151,0.1353,B12
175,middle,middle,0.0496,0.7884,0.1621,B12
176,middle,middle,0.0507,0.8065,0.1428,B12
177,middle,middle,0.0498,0.7929,0.1572,B12
178,middle,middle,0.05,0.8045,0.1455,B12
179,middle,middle,0.0487,0.8169,0.1344,B12
180,middle,middle,0.0479,0.845,0.1071,B12
181,middle,middle,0.0463,0.8578,0.0959,B12
182,middle,middle,0.0459,0.8671,0.0871,B12
183,middle,middle,0.0467,0.8722,0.0811,B12
184,middle,middle,0.0459,0.8698,0.0844,B12
185,middle,middle,0.0453,0.887,0.0678,B12
186,middle,middle,0.0443,0.9001,0.0556,B12
187,middle,middle,0.0452,0.9015,0.0534,B12
188,middle,middle,0.044,0.9086,0.0473,B12
189,middle,middle,0.0445,0.9109,0.0446,B12
190,middle,middle,0.0439,0.9151,0.041,B12
191,middle,middle,0.045,0.9164,0.0386,B12
192,middle,middle,0.0445,0.9198,0.0357,B12
193,middle,middle,0.0423,0.9207,0.0371,B12
194,middle,middle,0.0427,0.9232,0.0342,B12
195,middle,middle,0.0425,0.9249,0.0326,B12
196,middle,middle,0.0428,0.9264,0.0307,B12
197,middle,middle,0.0419,0.9277,0.0304,B12
198,middle,middle,0.0427,0.9283,0.0291,B12
199,middle,middle,0.0425,0.9292,0.0284,B12
200,middle,middle,0.0427,0.9295,0.0278,B12
201,middle,middle,0.042,0.9301,0.0279,B12
202,middle,middle,0.0423,0.9302,0.0275,B12
203,middle,middle,0.0416,0.9301,0.0283,B12
204,middle,middle,0.0427,0.9292,0.0281,B12
205,middle,middle,0.0412,0.9292,0.0296,B12
206,middle,middle,0.0422,0.9283,0.0295,B12
207,middle,middle,0.0413,0.9275,0.0312,B12
208,middle,middle,0.042,0.9268,0.0312,B12
209,middle,middle,0.0406,0.9255,0.0339,B12
210,middle,middle,0.041,0.925,0.034,B12
211,middle,middle,0.04,0.9233,0.0367,B12
212,middle,middle,0.0398,0.9211,0.0391,B12
213,middle,middle,0.0392,0.9176,0.0432,B12
214,middle,middle,0.0389,0.9115,0.0496,B12
215,middle,middle,0.0396,0.9162,0.0443,B12
216,middle,middle,0.0392,0.8952,0.0657,B12
217,middle,middle,0.0397,0.9042,0.056,B12
218,middle,middle,0.0397,0.8886,0.0717,B12
219,middle,middle,0.0405,0.8944,0.0652,B12
220,middle,middle,0.0423,0.8366,0.1211,B12
221,middle,middle,0.0428,0.8276,0.1296,B12
222,middle,middle,0.0427,0.7613,0.196,B12
223,middle,middle,0.0427,0.7621,0.1952,B12
224,middle,middle,0.041,0.6712,0.2878,B12
225,late,middle,0.034,0.5192,0.4468,B12
226,late,late,0.0292,0.4294,0.5414,B12
227,late,late,0.0214,0.2815,0.697,B12
228,late,late,0.0202,0.205,0.7748,B12
229,late,late,0.0171,0.1473,0.8356,B12
230,late,late,0.0159,0.1277,0.8564,B12
231,late,late,0.0146,0.1165,0.8689,B12
232,late,late,0.0139,0.1102,0.8759,B12
233,late,late,0.0132,0.1045,0.8823,B12
234,late,late,0.013,0.1015,0.8855,B12
235,late,late,0.0126,0.098,0.8894,B12
236,late,late,0.013,0.0989,0.8881,B12
237,late,late,0.0125,0.0959,0.8916,B12
238,late,late,0.0127,0.096,0.8914,B12
239,late,late,0.0124,0.0942,0.8934,B12
240,late,late,0.0128,0.0968,0.8904,B12
241,late,late,0.0124,0.0939,0.8936,B12
242,late,late,0.0125,0.0947,0.8928,B12
243,late,late,0.0124,0.0937,0.8939,B12
244,late,late,0.0126,0.0955,0.8919,B12
245,late,late,0.0124,0.0933,0.8944,B12
246,late,late,0.0131,0.0968,0.8902,B12
247,late,late,0.0124,0.0929,0.8948,B12
248,late,late,0.0125,0.093,0.8945,B12
249,late,late,0.0123,0.0921,0.8956,B12
250,late,late,0.0127,0.0952,0.8921,B12
251,late,late,0.0124,0.0921,0.8955,B12
252,late,late,0.0125,0.0927,0.8948,B12
253,late,late,0.0123,0.0919,0.8958,B12
254,late,late,0.0125,0.0939,0.8936,B12
255,late,late,0.0123,0.0915,0.8962,B12
256,late,late,0.0123,0.092,0.8957,B12
257,late,late,0.0122,0.0913,0.8965,B12
258,late,late,0.0122,0.0901,0.8977,B12
259,late,late,0.0122,0.09,0.8978,B12
260,late,late,0.0122,0.0896,0.8982,B12
261,late,late,0.0121,0.0892,0.8987,B12
262,late,late,0.0121,0.0892,0.8987,B12
263,late,late,0.0121,0.0889,0.899,B12
264,late,late,0.0121,0.0889,0.899,B12
265,late,late,0.0121,0.0884,0.8996,B12
266,late,late,0.0121,0.0885,0.8993,B12
267,late,late,0.0122,0.0885,0.8993,B12
268,late,late,0.0125,0.0904,0.8971,B12
269,late,late,0.0122,0.089,0.8988,B12
270,late,late,0.0124,0.0899,0.8977,B12
271,late,late,0.0123,0.0896,0.8982,B12
272,late,late,0.0125,0.0912,0.8963,B12
273,late,late,0.0123,0.0902,0.8975,B12
274,late,late,0.0125,0.0911,0.8964,B12
275,late,late,0.0124,0.091,0.8966,B12
276,late,late,0.0126,0.0924,0.895,B12
277,late,late,0.0126,0.0917,0.8958,B12
278,late,late,0.0128,0.0929,0.8943,B12
279,late,late,0.0138,0.0975,0.8886,B12
280,late,late,0.0129,0.0935,0.8936,B12
281,late,late,0.0134,0.0955,0.8911,B12
282,late,late,0.0131,0.0946,0.8922,B12
283,late,late,0.0137,0.0986,0.8877,B12
284,late,late,0.0133,0.0963,0.8904,B12
285,late,late,0.0136,0.0978,0.8886,B12
286,late,late,0.0135,0.0971,0.8895,B12
287,late,late,0.0139,0.0997,0.8864,B12
288,late,late,0.0134,0.0962,0.8904,B12
289,late,late,0.0133,0.0957,0.891,B12
290,late,late,0.013,0.0941,0.8928,B12
291,late,late,0.0129,0.0935,0.8936,B12
292,late,late,0.0128,0.0924,0.8948,B12
293,late,late,0.0126,0.0916,0.8958,B12
294,late,late,0.0125,0.0908,0.8967,B12
295,late,late,0.0123,0.0897,0.898,B12
296,late,late,0.0124,0.0893,0.8983,B12
297,late,late,0.0123,0.0891,0.8986,B12
298,late,late,0.0124,0.0891,0.8985,B12
299,late,late,0.0125,0.0896,0.8979,B12
300,late,late,0.0126,0.0901,0.8972,B12
301,late,late,0.0126,0.0901,0.8974,B12
302,late,late,0.0127,0.0908,0.8965,B12
303,late,late,0.0127,0.0909,0.8964,B12
304,late,late,0.0128,0.0915,0.8957,B12
305,late,late,0.0127,0.0912,0.896,B12
306,late,late,0.0128,0.0918,0.8954,B12
307,late,late,0.0128,0.0918,0.8954,B12
308,late,late,0.0129,0.0923,0.8948,B12
309,late,late,0.0129,0.0919,0.8952,B12
310,late,late,0.0129,0.0922,0.8948,B12
311,late,late,0.0132,0.0932,0.8937,B12
312,late,late,0.013,0.0923,0.8947,B12
313,late,late,0.0133,0.0935,0.8932,B12
314,late,late,0.0132,0.0935,0.8933,B12
315,late,late,0.0135,0.0948,0.8917,B12
