run_id,true_stage,pred_stage,p_E,p_M,p_L,method
80,early,early,0.9133,0.0657,0.021,B11
81,early,early,0.9112,0.0675,0.0213,B11
82,early,early,0.9169,0.0625,0.0205,B11
83,early,early,0.9146,0.0648,0.0207,B11
84,early,early,0.9166,0.0631,0.0203,B11
85,early,early,0.9136,0.066,0.0205,B11
86,early,early,0.9089,0.0705,0.0206,B11
87,early,early,0.9222,0.0581,0.0197,B11
88,early,early,0.9023,0.0762,0.0215,B11
89,early,early,0.9113,0.0683,0.0204,B11
90,early,early,0.8839,0.0932,0.0229,B11
91,early,early,0.9039,0.0747,0.0214,B11
92,early,early,0.8747,0.1014,0.0239,B11
93,early,early,0.8907,0.0869,0.0224,B11
94,early,early,0.8442,0.13,0.0258,B11
95,early,early,0.8553,0.1195,0.0252,B11
96,middle,early,0.7833,0.1866,0.03,B11
97,middle,early,0.6981,0.2674,0.0345,B11
98,middle,early,0.6345,0.329,0.0365,B11
99,middle,middle,0.3626,0.5978,0.0396,B11
100,middle,middle,0.3007,0.66,0.0393,B11
101,middle,middle,0.2308,0.7301,0.0391,B11
102,middle,middle,0.1871,0.7741,0.0388,B11
103,middle,middle,0.1339,0.8272,0.0389,B11
104,middle,middle,0.1173,0.8426,0.0401,B11
105,middle,middle,0.1137,0.8424,0.0439,B11
106,middle,middle,0.1165,0.8357,0.0478,B11
107,middle,middle,0.1142,0.8355,0.0503,B11
108,middle,middle,0.2032,0.7369,0.0599,B11
109,middle,middle,0.1476,0.7984,0.054,B11
110,middle,middle,0.1816,0.7621,0.0563,B11
111,middle,middle,0.1389,0.808,0.0531,B11
112,middle,middle,0.1892,0.7538,0.057,B11
113,middle,middle,0.1237,0.8241,0.0522,B11
114,middle,middle,0.1397,0.8065,0.0538,B11
115,middle,middle,0.0999,0.8491,0.051,B11
116,middle,middle,0.1138,0.8347,0.0515,B11
117,middle,middle,0.0888,0.8608,0.0504,B11
118,middle,middle,0.0762,0.8725,0.0513,B11
119,middle,middle,0.1392,0.7987,0.0621,B11
120,middle,middle,0.0952,0.8406,0.0642,B11
121,middle,middle,0.0984,0.8393,0.0623,B11
122,middle,middle,0.0881,0.8474,0.0645,B11
123,middle,middle,0.1238,0.8019,0.0743,B11
124,middle,middle,0.0922,0.8364,0.0714,B11
125,middle,middle,0.0873,0.8456,0.0671,B11
126,middle,middle,0.076,0.8591,0.0649,B11
127,middle,middle,0.0906,0.8413,0.0681,B11
128,middle,middle,0.0788,0.8548,0.0664,B11
129,middle,middle,0.0648,0.8719,0.0633,B11
130,middle,middle,0.0596,0.8827,0.0578,B11
131,middle,middle,0.0506,0.8975,0.0519,B11
132,middle,middle,0.0469,0.9067,0.0463,B11
133,middle,middle,0.0394,0.9216,0.039,B11
134,middle,middle,0.0377,0.9262,0.0361,B11
135,middle,middle,0.0339,0.934,0.0321,B11
136,middle,middle,0.0331,0.9362,0.0307,B11
137,middle,middle,0.0301,0.9421,0.0278,B11
138,middle,middle,0.0298,0.9425,0.0277,B11
139,middle,middle,0.0283,0.9458,0.0259,B11
140,middle,middle,0.0288,0.9457,0.0255,B11
141,middle,middle,0.0277,0.9474,0.0249,B11
142,middle,middle,0.0277,0.9475,0.0248,B11
143,middle,middle,0.0273,0.9479,0.0248,B11
144,middle,middle,0.0278,0.9469,0.0252,B11
145,middle,middle,0.0273,0.9478,0.025,B11
146,middle,middle,0.0272,0.9481,0.0247,B11
147,middle,middle,0.027,0.948,0.025,B11
148,middle,middle,0.027,0.948,0.0251,B11
149,middle,middle,0.0269,0.9481,0.025,B11
150,middle,middle,0.0282,0.9464,0.0255,B11
151,middle,middle,0.0274,0.9472,0.0254,B11
152,middle,middle,0.0274,0.9476,0.025,B11
153,middle,middle,0.0276,0.9465,0.0259,B11
154,middle,middle,0.0283,0.9453,0.0264,B11
155,middle,middle,0.0283,0.9445,0.0272,B11
156,middle,middle,0.0283,0.9448,0.027,B11
157,middle,middle,0.0289,0.9428,0.0282,B11
158,middle,middle,0.0289,0.9427,0.0284,B11
159,middle,middle,0.0291,0.9427,0.0281,B11
160,middle,middle,0.0285,0.9442,0.0272,B11
161,middle,middle,0.0287,0.9379,0.0334,B11
162,middle,middle,0.0285,0.9395,0.032,B11
163,middle,middle,0.0285,0.9395,0.0321,B11
164,middle,middle,0.0293,0.9361,0.0347,B11
165,middle,middle,0.0292,0.9344,0.0364,B11
166,middle,middle,0.0303,0.93,0.0396,B11
167,middle,middle,0.03,0.9278,0.0422,B11
168,middle,middle,0.0323,0.9169,0.0508,B11
169,middle,middle,0.0349,0.8996,0.0654,B11
170,middle,middle,0.0392,0.8701,0.0907,B11
171,middle,middle,0.0426,0.8378,0.1195,B11
172,middle,middle,0.0468,0.8151,0.1381,B11
173,middle,middle,0.0474,0.7957,0.1569,B11
174,middle,middle,0.0505,0.7624,0.187,B11
175,middle,middle,0.0521,0.7123,0.2356,B11
176,middle,middle,0.0526,0.7474,0.2,B11
177,middle,middle,0.0522,0.7213,0.2264,B11
178,middle,middle,0.0517,0.7435,0.2047,B11
179,middle,middle,0.0493,0.766,0.1847,B11
180,middle,middle,0.0463,0.8162,0.1376,B11
181,middle,middle,0.0432,0.8377,0.1191,B11
182,middle,middle,0.0417,0.8531,0.1051,B11
183,middle,middle,0.042,0.8618,0.0961,B11
184,middle,middle,0.0415,0.8575,0.1011,B11
185,middle,middle,0.0383,0.8857,0.076,B11
186,middle,middle,0.0347,0.9066,0.0586,B11
187,middle,middle,0.0349,0.9094,0.0557,B11
188,middle,middle,0.032,0.9204,0.0476,B11
189,middle,middle,0.0316,0.9244,0.0441,B11
190,middle,middle,0.0297,0.9309,0.0394,B11
191,middle,middle,0.0297,0.9339,0.0364,B11
192,middle,middle,0.0281,0.939,0.0329,B11
193,middle,middle,0.0271,0.9385,0.0345,B11
194,middle,middle,0.0262,0.9429,0.031,B11
195,middle,middle,0.0253,0.9455,0.0292,B11
196,middle,middle,0.0246,0.9483,0.027,B11
197,middle,middle,0.0238,0.9496,0.0266,B11
198,middle,middle,0.0236,0.9513,0.0251,B11
199,middle,middle,0.023,0.9527,0.0243,B11
200,middle,middle,0.0228,0.9536,0.0236,B11
201,middle,middle,0.0224,0.9538,0.0237,B11
202,middle,middle,0.0224,0.9543,0.0233,B11
203,middle,middle,0.0224,0.9534,0.0242,B11
204,middle,middle,0.0229,0.9531,0.024,B11
205,middle,middle,0.0229,0.9515,0.0256,B11
206,middle,middle,0.0234,0.9511,0.0256,B11
207,middle,middle,0.0237,0.9488,0.0275,B11
208,middle,middle,0.0242,0.9483,0.0275,B11
209,middle,middle,0.0243,0.9449,0.0307,B11
210,middle,middle,0.0247,0.9445,0.0308,B11
211,middle,middle,0.025,0.941,0.034,B11
212,middle,middle,0.0257,0.9374,0.0369,B11
213,middle,middle,0.0265,0.9314,0.0421,B11
214,middle,middle,0.0281,0.9216,0.0503,B11
215,middle,middle,0.0275,0.9291,0.0434,B11
216,middle,middle,0.0315,0.8959,0.0726,B11
217,middle,middle,0.0303,0.9106,0.0591,B11
218,middle,middle,0.0328,0.8857,0.0815,B11
219,middle,middle,0.0324,0.8955,0.072,B11
220,middle,middle,0.04,0.798,0.162,B11
221,middle,middle,0.0412,0.7824,0.1763,B11
222,middle,middle,0.0438,0.6569,0.2993,B11
223,middle,middle,0.0439,0.6602,0.2959,B11
224,middle,middle,0.0435,0.4805,0.476,B11
225,late,late,0.0339,0.2138,0.7523,B11
226,late,late,0.0273,0.1258,0.8469,B11
227,late,late,0.0176,0.043,0.9394,B11
228,late,late,0.0163,0.0354,0.9483,B11
229,late,late,0.013,0.0203,0.9667,B11
230,late,late,0.0117,0.0154,0.9729,B11
231,late,late,0.0103,0.0117,0.978,B11
232,late,late,0.0097,0.0098,0.9806,B11
233,late,late,0.009,0.0083,0.9828,B11
234,late,late,0.0087,0.0075,0.9838,B11
235,late,late,0.0083,0.0069,0.9848,B11
236,late,late,0.0086,0.007,0.9844,B11
237,late,late,0.0082,0.0065,0.9854,B11
238,late,late,0.0083,0.0065,0.9853,B11
239,late,late,0.0081,0.0062,0.9858,B11
240,late,late,0.0084,0.0066,0.985,B11
241,late,late,0.0081,0.0061,0.9858,B11
242,late,late,0.0082,0.0062,0.9856,B11
243,late,late,0.0081,0.006,0.9859,B11
244,late,late,0.0082,0.0063,0.9855,B11
245,late,late,0.008,0.006,0.986,B11
246,late,late,0.0086,0.0064,0.9849,B11
247,late,late,0.008,0.0059,0.9861,B11
248,late,late,0.0081,0.0059,0.986,B11
249,late,late,0.008,0.0058,0.9863,B11
250,late,late,0.0083,0.0063,0.9854,B11
251,late,late,0.008,0.0058,0.9863,B11
252,late,late,0.0081,0.0058,0.9861,B11
253,late,late,0.008,0.0057,0.9863,B11
254,late,late,0.0081,0.006,0.9859,B11
255,late,late,0.0079,0.0057,0.9864,B11
256,late,late,0.008,0.0057,0.9863,B11
257,late,late,0.0079,0.0056,0.9865,B11
258,late,late,0.0078,0.0054,0.9868,B11
259,late,late,0.0078,0.0054,0.9868,B11
260,late,late,0.0078,0.0054,0.9868,B11
261,late,late,0.0077,0.0053,0.9869,B11
262,late,late,0.0077,0.0053,0.9869,B11
263,late,late,0.0077,0.0053,0.987,B11
264,late,late,0.0077,0.0053,0.987,B11
265,late,late,0.0077,0.0053,0.9871,B11
266,late,late,0.0077,0.0053,0.987,B11
267,late,late,0.0078,0.0052,0.987,B11
268,late,late,0.0081,0.0054,0.9866,B11
269,late,late,0.0078,0.0053,0.9869,B11
270,late,late,0.008,0.0054,0.9867,B11
271,late,late,0.0079,0.0054,0.9867,B11
272,late,late,0.008,0.0056,0.9864,B11
273,late,late,0.0079,0.0055,0.9866,B11
274,late,late,0.008,0.0056,0.9864,B11
275,late,late,0.008,0.0056,0.9864,B11
276,late,late,0.0082,0.0058,0.986,B11
277,late,late,0.0081,0.0057,0.9862,B11
278,late,late,0.0084,0.0059,0.9858,B11
279,late,late,0.0093,0.0063,0.9844,B11
280,late,late,0.0084,0.006,0.9855,B11
281,late,late,0.0089,0.0062,0.9849,B11
282,late,late,0.0087,0.0062,0.9851,B11
283,late,late,0.0093,0.0068,0.9839,B11
284,late,late,0.0088,0.0064,0.9848,B11
285,late,late,0.0091,0.0067,0.9842,B11
286,late,late,0.009,0.0066,0.9844,B11
287,late,late,0.0094,0.007,0.9836,B11
288,late,late,0.009,0.0064,0.9846,B11
289,late,late,0.0088,0.0063,0.9849,B11
290,late,late,0.0086,0.006,0.9854,B11
291,late,late,0.0084,0.0059,0.9856,B11
292,late,late,0.0083,0.0058,0.9859,B11
293,late,late,0.0082,0.0056,0.9862,B11
294,late,late,0.0081,0.0055,0.9864,B11
295,late,late,0.0079,0.0054,0.9867,B11
296,late,late,0.0079,0.0053,0.9868,B11
297,late,late,0.0079,0.0053,0.9868,B11
298,late,late,0.0079,0.0052,0.9868,B11
299,late,late,0.008,0.0052,0.9867,B11
300,late,late,0.0082,0.0053,0.9866,B11
301,late,late,0.0081,0.0053,0.9866,B11
302,late,late,0.0082,0.0053,0.9864,B11
303,late,late,0.0082,0.0054,0.9864,B11
304,late,late,0.0083,0.0054,0.9863,B11
305,late,late,0.0083,0.0054,0.9863,B11
306,late,late,0.0084,0.0055,0.9862,B11
307,late,late,0.0084,0.0055,0.9862,B11
308,late,late,0.0084,0.0055,0.9861,B11
309,late,late,0.0084,0.0055,0.9861,B11
310,late,late,0.0085,0.0055,0.9861,B11
311,late,late,0.0086,0.0056,0.9858,B11
312,late,late,0.0085,0.0055,0.986,B11
313,late,late,0.0087,0.0056,0.9857,B11
314,late,late,0.0087,0.0056,0.9857,B11
315,late,late,0.009,0.0057,0.9853,B11
