Setting,Task,Train_conditions,Test_condition,condition,run_id,true_stage,pred_stage,p_E,p_M,p_L,q_hat
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,36,early,early,0.8009393961824328,0.16867809833802155,0.030382505478545672,0.31514599919319153
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,37,early,early,0.8006018329630687,0.16883937590642176,0.030558791129509415,0.3162166178226471
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,38,early,early,0.8012607745605289,0.16833330956608356,0.030405915872387564,0.3156184256076813
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,39,early,early,0.8019540851517218,0.1678646633270008,0.030181251520277428,0.3148040771484375
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,40,early,early,0.8023343632764024,0.16754013740443596,0.03012549931816163,0.3143441081047058
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,41,early,early,0.8020549559488086,0.16761702679039267,0.030328017259798723,0.3148829936981201
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,42,early,early,0.8027285669293437,0.16727454240981438,0.029996890659841874,0.31422901153564453
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,43,early,early,0.8027509047105347,0.1672327081829251,0.030016387105540374,0.3146074116230011
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,44,early,early,0.8028267907907763,0.16724937734205073,0.02992383186617291,0.3146856725215912
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,45,early,early,0.8032589442288806,0.16709361081793925,0.029647444952180257,0.31428053975105286
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,46,early,early,0.8033240579804172,0.16710999520143135,0.02956594681715157,0.31406959891319275
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,47,early,early,0.8034631913293565,0.16708797542169554,0.029448833247947934,0.3135731518268585
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,48,early,early,0.8031715484680783,0.16723509678970494,0.029593354741216826,0.3139807879924774
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,49,early,early,0.8030611968140932,0.16731329786203678,0.02962550532287011,0.3140125572681427
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,50,early,early,0.8030760729657436,0.16737650539329899,0.02954742163995746,0.3139515221118927
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,51,early,early,0.8027949948735397,0.16745648340876704,0.029748521716693267,0.3139895796775818
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,52,early,early,0.8027843713290079,0.16750901824206532,0.029706610427926713,0.3139166235923767
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,53,early,early,0.8022483715907237,0.16783687262190747,0.02991475578636884,0.31424596905708313
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,54,early,early,0.8022746544509125,0.16784012576342583,0.029885219784661722,0.31404411792755127
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,55,early,early,0.8020535821311001,0.16797176292388538,0.02997465494401457,0.31384798884391785
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,56,early,early,0.8018509313453781,0.16811460520613491,0.030034463447486982,0.3140413165092468
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,57,early,early,0.8015158372742281,0.16837239930624204,0.030111763418529756,0.31398698687553406
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,58,early,early,0.801120461017069,0.16863573517920724,0.0302438038027238,0.31446415185928345
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,59,early,early,0.8002153377224985,0.16916332955596855,0.030621332720532853,0.3149747848510742
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,60,early,early,0.800697520038307,0.16899717893999147,0.03030530102070155,0.3139299750328064
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,61,early,early,0.8002397663030819,0.1693380429336676,0.03042219076225042,0.3139846622943878
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,62,early,early,0.8008792696012221,0.16907876136056157,0.030041969037216405,0.31270769238471985
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,63,early,early,0.7999044767079317,0.16972806436979263,0.03036745892127564,0.31346723437309265
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,64,early,early,0.8000546588171578,0.16977031725517178,0.0301750239266704,0.3127025365829468
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,65,early,early,0.797379604211103,0.17154739275953418,0.03107300302836293,0.3135284185409546
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,66,early,early,0.7989682347770422,0.1710929909327145,0.029938774289243325,0.3103943467140198
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,67,early,early,0.7981717040234955,0.17203485535000204,0.029793440625502512,0.30949556827545166
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,68,early,early,0.7974797755205401,0.17292789432725295,0.02959233015120701,0.3083721101284027
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,69,early,early,0.7946113198021306,0.17563371511017742,0.029754965086691912,0.3084401488304138
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,70,early,early,0.7896229555163786,0.18058230136543968,0.029794743117181784,0.308464378118515
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,71,early,early,0.7834558495382836,0.18678956875225136,0.02975458170846498,0.3090978264808655
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,72,early,early,0.7770052874142886,0.1934518945780535,0.029542818006657746,0.30924612283706665
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,73,early,early,0.7639168609158516,0.2061100729477442,0.02997306613540427,0.31228551268577576
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,74,early,early,0.7518513431611575,0.21830137085387621,0.029847285983966257,0.31423261761665344
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,75,early,early,0.7382542251020077,0.23187926337689305,0.029866511520099358,0.31504127383232117
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,76,early,early,0.7440548726716987,0.22647631887236358,0.02946880845493777,0.3135818839073181
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,77,early,early,0.7280775806087894,0.24210595033317223,0.0298164690570385,0.31520605087280273
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,78,early,early,0.7467430146707313,0.22384725426783825,0.02940973106043041,0.31355759501457214
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,79,early,early,0.7435730173278775,0.22732160616092476,0.02910537651019773,0.3137466013431549
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,80,early,early,0.7572546856430756,0.21397186395961054,0.028773450396313828,0.31133532524108887
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,81,early,early,0.756034504709794,0.21491912778861974,0.029046367500586274,0.31139832735061646
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,82,early,early,0.7635133244891368,0.207852135822749,0.02863453968711424,0.30968233942985535
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,83,early,early,0.7610229946145813,0.21027369936005563,0.028703306024363023,0.310418963432312
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,84,early,early,0.7606640664900853,0.2107591691316318,0.02857676437728287,0.3109642565250397
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,85,early,early,0.7577263497424698,0.21354053503200582,0.02873311522452433,0.311882883310318
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,86,early,early,0.7498388109157292,0.221722739914719,0.028438449168551847,0.3126855492591858
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,87,early,early,0.765578054802446,0.2063675246053235,0.02805442059123053,0.309125691652298
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,88,early,early,0.7438154898024106,0.2274817824946258,0.02870272770196354,0.31291165947914124
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,89,early,early,0.75693395591441,0.21470417982957835,0.028361864255011592,0.3109801411628723
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,90,early,early,0.7270519398798401,0.24366705296119573,0.02928100715796426,0.3156977593898773
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,91,early,early,0.7473697205803831,0.22380577182482586,0.028824507593791137,0.31365031003952026
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,92,early,early,0.7226620621953765,0.24778404312742167,0.02955389467620182,0.31685420870780945
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,93,early,early,0.7409006175790389,0.23041766494713406,0.028681717472827148,0.313597172498703
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,94,early,early,0.7033441768818716,0.2669723190958098,0.029683504021318564,0.31720247864723206
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,95,early,early,0.7022278377396431,0.2678911309640198,0.029881031295337028,0.3187629282474518
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,96,middle,early,0.6547435538478421,0.31412637019706435,0.031130075954093568,0.3235552906990051
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,97,middle,early,0.5969581015941916,0.3693505399169803,0.0336913584878281,0.3329618275165558
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,98,middle,early,0.5734191173136164,0.39337806374336604,0.033202818942017535,0.3305853009223938
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,99,middle,middle,0.42648534828008405,0.5411980454045078,0.03231660631440819,0.34497466683387756
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,100,middle,middle,0.35166041927150954,0.61581723734925,0.032522343378240524,0.3509990870952606
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,101,middle,middle,0.264164357019588,0.7029550821490416,0.0328805608303704,0.3583870530128479
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,102,middle,middle,0.21409055921342446,0.753047083037291,0.03286235774828457,0.3606160879135132
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,103,middle,middle,0.15769666798282414,0.8105054274009266,0.031797904615249326,0.3712436556816101
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,104,middle,middle,0.14186785782036887,0.8254553496274696,0.032676792551161536,0.37632647156715393
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,105,middle,middle,0.13350301784867916,0.8312949111213875,0.03520207102893338,0.38224270939826965
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,106,middle,middle,0.1319847972656135,0.8296473881804557,0.03836781455293081,0.387362003326416
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,107,middle,middle,0.12839521183545802,0.8314959545629627,0.040108833600579256,0.3914283812046051
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,108,middle,middle,0.19382047589984167,0.7584558054286298,0.047723718670528506,0.37150853872299194
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,109,middle,middle,0.1489269072755228,0.808762937333992,0.042310155389485286,0.3839682340621948
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,110,middle,middle,0.17400650048234287,0.7804582542870746,0.045535245229582584,0.3798668086528778
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,111,middle,middle,0.14079216722549168,0.8175799740208635,0.04162785875264487,0.38894301652908325
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,112,middle,middle,0.17321024104719088,0.780485736549255,0.046304022402554226,0.3833206593990326
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,113,middle,middle,0.12713407586084544,0.8322596304936712,0.040606293644483364,0.3942066431045532
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,114,middle,middle,0.13764671095932504,0.8200004046080194,0.042352884431655635,0.39256131649017334
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,115,middle,middle,0.10795134300633553,0.853587099475534,0.038461557517130394,0.4018578827381134
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,116,middle,middle,0.11261626202310182,0.849350389435927,0.03803334853997118,0.4001576900482178
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,117,middle,middle,0.09436752674429612,0.8694674137935778,0.03616505946112605,0.40806153416633606
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,118,middle,middle,0.08540516632191192,0.8787892903214488,0.03580554335563917,0.4128243029117584
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,119,middle,middle,0.1356232116274243,0.8207070065013654,0.0436697818702104,0.3873389661312103
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,120,middle,middle,0.09724985167106513,0.8588953805262495,0.043854767801685395,0.4130915105342865
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,121,middle,middle,0.1037180773461458,0.8522922746427367,0.04398964801011746,0.4116634726524353
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,122,middle,middle,0.09231238972306513,0.8614499315188344,0.04623767875710041,0.42150548100471497
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,123,middle,middle,0.12013555521684756,0.8248686486181417,0.0549957961640108,0.41682639718055725
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,124,middle,middle,0.09266885483723956,0.8565823199406,0.050748825221160525,0.4278404712677002
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,125,middle,middle,0.09192265779903663,0.86020747793333,0.04786986426663333,0.4262342154979706
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,126,middle,middle,0.08092770441745017,0.8738292103176265,0.0452430852639233,0.4290044605731964
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,127,middle,middle,0.0886168398973937,0.8645364608620705,0.04684669923953586,0.42682549357414246
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,128,middle,middle,0.08095370180790674,0.8728554077775728,0.046190890413520556,0.4294538199901581
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,129,middle,middle,0.06822245231173177,0.8868790449894248,0.044898502697843436,0.4375171959400177
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,130,middle,middle,0.06487307684288077,0.8942870685684949,0.04083985458762435,0.4343295097351074
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,131,middle,middle,0.05679623904529715,0.9063562928941824,0.03684746805952045,0.43879908323287964
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,132,middle,middle,0.05479436388194166,0.9119780823209007,0.03322755379615757,0.4346560537815094
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,133,middle,middle,0.04916929934759412,0.9224241077583534,0.02840659289305255,0.43532752990722656
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,134,middle,middle,0.048670760653275164,0.9252460388875388,0.026083200458186063,0.4309222400188446
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,135,middle,middle,0.045900790825567105,0.9306537900054378,0.023445419167995103,0.42974796891212463
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,136,middle,middle,0.04542409897985663,0.9320193892967797,0.022556511722363712,0.42852193117141724
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,137,middle,middle,0.04353518398523061,0.9357319355408875,0.020732880472881847,0.4278712272644043
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,138,middle,middle,0.04297244033902221,0.9365654246553999,0.020462135004577938,0.42831507325172424
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,139,middle,middle,0.042252249267525376,0.938405181019416,0.019342569712058687,0.42695558071136475
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,140,middle,middle,0.043389244507986785,0.9377697995504922,0.01884095594052107,0.42411673069000244
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,141,middle,middle,0.04241784312658184,0.939162256358075,0.018419900514343168,0.4247055947780609
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,142,middle,middle,0.042445520077154186,0.9389810154639611,0.01857346445788479,0.4249184727668762
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,143,middle,middle,0.041975642480853004,0.9396988798650027,0.01832547765314433,0.42539870738983154
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,144,middle,middle,0.042314723381119274,0.9389891963316064,0.018696080286274442,0.42554160952568054
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,145,middle,middle,0.04162613873287435,0.9400046377210598,0.01836922354506587,0.4261387288570404
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,146,middle,middle,0.04200422878316803,0.939913564526301,0.018082206689530946,0.4248850643634796
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,147,middle,middle,0.04120016877620768,0.9405069281704749,0.01829290305231755,0.4265471398830414
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,148,middle,middle,0.04127672000290183,0.9404630596100554,0.018260220386042872,0.42636531591415405
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,149,middle,middle,0.04100821304690152,0.9409146655527113,0.018077121399387178,0.4267035722732544
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,150,middle,middle,0.04275764185821697,0.9390470855212915,0.01819527261949161,0.4238331913948059
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,151,middle,middle,0.041329504184826824,0.9404374003007466,0.018233095513426625,0.4265187978744507
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,152,middle,middle,0.04149925111212706,0.9401765142736956,0.018324234613177257,0.42626968026161194
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,153,middle,middle,0.04106643231377308,0.9403571938458889,0.018576373839338065,0.42786163091659546
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,154,middle,middle,0.04169071606653386,0.9391745456674908,0.0191347382649754,0.4277268350124359
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,155,middle,middle,0.04090385721724356,0.9395680063606688,0.01952813642108769,0.4301285147666931
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,156,middle,middle,0.04153907604635638,0.9392398916002864,0.01922103235235714,0.4284645617008209
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,157,middle,middle,0.04128189427577443,0.9387834703564764,0.01993463536674927,0.43069055676460266
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,158,middle,middle,0.0411500588823567,0.9387813605074379,0.02006858060920551,0.4316525459289551
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,159,middle,middle,0.04130486550835745,0.9386866826372587,0.020008451853383888,0.43132221698760986
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,160,middle,middle,0.041276319018752776,0.9394208696069044,0.019302811373342763,0.4301644563674927
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,161,middle,middle,0.03817759948267346,0.9402304290183483,0.021591971497978306,0.4432609975337982
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,162,middle,middle,0.03893181100465148,0.9405733836454837,0.0204948053488649,0.4383268356323242
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,163,middle,middle,0.039238760626260395,0.9399730636436854,0.020788175729054205,0.43828150629997253
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,164,middle,middle,0.03893057071762672,0.9388908057128599,0.022178623568513436,0.44156843423843384
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,165,middle,middle,0.03830228218023724,0.9386765453317978,0.023021172486965006,0.44471484422683716
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,166,middle,middle,0.03799833089569536,0.9373568635299475,0.0246448055733571,0.4483802616596222
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,167,middle,middle,0.037320693977553374,0.9370453451688945,0.025633960852552234,0.4518507719039917
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,168,middle,middle,0.037368767997346945,0.9325034166612535,0.030127815340399527,0.4615802466869354
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,169,middle,middle,0.03717875516226752,0.9237291855633423,0.03909205927339027,0.4769752621650696
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,170,middle,middle,0.03864376681624037,0.9088721791222955,0.05248405406046409,0.49373289942741394
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,171,middle,middle,0.040836537716839455,0.890167195187948,0.0689962670942127,0.5066495537757874
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,172,middle,middle,0.04476131698837811,0.8731752346490782,0.08206344836154368,0.5111013650894165
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,173,middle,middle,0.04480562076448171,0.8619668114524505,0.09322756778206785,0.5211360454559326
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,174,middle,middle,0.04626093970125992,0.8446081100849989,0.1091309502127411,0.5302408933639526
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,175,middle,middle,0.04745978743360576,0.8114790444335774,0.14106116813181688,0.5469637513160706
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,176,middle,middle,0.04749326983882668,0.8350695338420167,0.11743719631815672,0.5334513187408447
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,177,middle,middle,0.046886893771673,0.8212530940393671,0.13186001218795992,0.5426700115203857
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,178,middle,middle,0.04681838219765992,0.8305703851290819,0.12261123267225826,0.536499559879303
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,179,middle,middle,0.04525270060186646,0.8425261560841034,0.11222114331303008,0.532020628452301
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,180,middle,middle,0.0442192612629808,0.8701260653686065,0.0856546733674128,0.5147064924240112
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,181,middle,middle,0.04213737584063493,0.8818631451020303,0.0759994790563348,0.5092993974685669
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,182,middle,middle,0.041712601065334594,0.8886488791841718,0.06963851974949367,0.5042663216590881
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,183,middle,middle,0.041588831633949636,0.8980544029243979,0.06035676544065257,0.4964386522769928
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,184,middle,middle,0.04139847922119149,0.8940228609727684,0.06457865980504018,0.5007622241973877
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,185,middle,middle,0.04012804238840144,0.9086396075474187,0.051232350063180006,0.48618730902671814
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,186,middle,middle,0.03861321473669807,0.9219701960041833,0.039416589258118674,0.4728548526763916
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,187,middle,middle,0.03934773946850544,0.9238999580305048,0.03675230249998983,0.4676879346370697
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,188,middle,middle,0.037834490123762915,0.9307718163765574,0.03139369349867967,0.4622880220413208
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,189,middle,middle,0.03824641512003673,0.9325944713160379,0.029159113562925266,0.4571554660797119
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,190,middle,middle,0.03759304598054588,0.9362581972630774,0.02614875675537683,0.45200076699256897
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,191,middle,middle,0.038608833936260946,0.9372981929108415,0.024092973151897623,0.4459792673587799
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,192,middle,middle,0.037926045497137746,0.9398614670201333,0.02221248748172894,0.4434925317764282
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,193,middle,middle,0.03659772474112265,0.9407951489279683,0.022607126329909053,0.4478960633277893
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,194,middle,middle,0.03689814784086134,0.9427568761426645,0.020344976015474244,0.4426604211330414
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,195,middle,middle,0.03702981487288964,0.9437835515173505,0.019186633608759888,0.43978118896484375
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,196,middle,middle,0.03713630460224643,0.9446220037431315,0.01824169165362198,0.43718501925468445
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,197,middle,middle,0.03643883001157075,0.945717990067797,0.017843179919632284,0.43786898255348206
Dual-source,D1_C1C4_to_C6,C1+C4,C6,C6,198,middle,middle,0.0366841235155974,0.9459506070721494,0.017365269411253166,0.4356366991996765
