condition,feature,baseline_n,baseline_median,baseline_iqr_or_std
C1,ch2_spec_entropy,30,2.5319265636792765,0.11026692059066745
C1,ch2_band_power_q1,30,82886.29182759399,18461.85721740307
C1,ch2_band_power_q2,30,89.30779846714117,50.225341337138815
C1,ch2_band_power_q3,30,0.7994353272059017,0.5706131771015837
C1,ch2_band_power_q4,30,0.25671363083547144,0.11729938399342307
C1,ch2_band_ratio_q4_q1,30,3.0134451742962464e-06,1.0527016016847921e-06
C1,ch2_total_power,30,82978.79637086912,18468.58369238868
C1,ch2_wp_energy_1,30,10247298.850587685,2347745.252851194
C1,ch2_wp_energy_2,30,108627.81746457267,6711.940787684842
C1,ch2_wp_energy_3,30,6963.568812694939,2368.0710736164483
C1,ch2_wp_energy_4,30,4035.0681131383726,2058.4679715225107
C1,ch2_wp_energy_5,30,721.4627477093005,493.155626168779
C1,ch2_wp_energy_6,30,589.1866752360786,327.0566811969187
C1,ch2_wp_energy_7,30,57.069031153985804,18.65479155157559
C1,ch2_wp_energy_8,30,22.047382100113616,5.628755166872413
C1,ch2_wp_energy_ratio_1,30,0.9879405217806583,0.00211642626416364
C1,ch2_wp_energy_ratio_2,30,0.01060370702225,0.0017205901517193256
C1,ch2_wp_energy_ratio_3,30,0.0007499117368861,0.0002443660649700999
C1,ch2_wp_energy_ratio_4,30,0.00048384496307284997,0.00020903119659004994
C1,ch2_wp_energy_ratio_5,30,8.671349813725961e-05,5.1670527396240366e-05
C1,ch2_wp_energy_ratio_6,30,6.724520510180071e-05,2.9460533580151416e-05
C1,ch2_wp_energy_ratio_7,30,5.837692204983161e-06,2.164840486811176e-06
C1,ch2_wp_energy_ratio_8,30,2.3968808866881565e-06,5.718889608361636e-07
C1,ch2_wp_entropy,30,0.07102078945172015,0.010831772886349997
C1,ch2_wp_energy_max_ratio,30,0.9879405217806583,0.00211642626416364
C1,ch3_mean,30,1.235372917074363,0.6628254949944082
C1,ch3_std,30,4.186785137765709,0.9136118898812011
C1,ch3_var,30,17.537118642175535,7.5939218737348515
C1,ch3_min,30,-9.131,2.3629999999999995
C1,ch3_max,30,15.6845,3.338750000000001
C1,ch3_ptp,30,24.807000000000002,4.9175
C1,ch3_median,30,0.5845,0.88225
C1,ch3_q25,30,-1.8198750000000001,1.9247500000000004
C1,ch3_q75,30,4.208125,0.8632499999999999
C1,ch3_iqr,30,5.941625,1.5476874999999994
C1,ch3_rms,30,4.444550171936573,0.8075797741404771
C1,ch3_mean_abs,30,3.472867216883654,0.6687789564906206
C1,ch3_skew,30,0.4816912074055272,0.04931587467507581
C1,ch3_kurtosis,30,-0.48220490193893206,0.1141806547568513
C1,ch3_crest_factor,30,3.4886447931591826,0.14132390304350073
C1,ch3_shape_factor,30,1.287460745134727,0.04017584751120706
C1,ch3_impulse_factor,30,4.425117970781131,0.2421476505231741
C1,ch3_margin_factor,30,5.3222667785644715,0.36056821547425244
C1,ch3_dom_freq_norm,30,0.01025390625,0.0007888425010450934
C1,ch3_dom_power,30,13994.972397204154,7917.432792110776
C1,ch3_spec_centroid,30,0.0130484192563341,0.0006205168227952501
C1,ch3_rms_freq,30,0.014851142363228851,0.0008288020550865499
C1,ch3_spec_entropy,30,1.9683987597350563,0.20665109031447404
C1,ch3_band_power_q1,30,36130.13255954807,15551.54353635745
C1,ch3_band_power_q2,30,5.422762766155184,2.155069534738989
C1,ch3_band_power_q3,30,0.8762618501177892,0.5174308721180365
C1,ch3_band_power_q4,30,0.1718773496648853,0.03849553486766344
C1,ch3_band_ratio_q4_q1,30,4.79143906298479e-06,1.138751573504838e-06
C1,ch3_total_power,30,36135.362585231174,15552.02049568836
C1,ch3_wp_energy_1,30,4313755.727874661,1549104.5152216228
C1,ch3_wp_energy_2,30,11965.887366642637,2091.703315812574
C1,ch3_wp_energy_3,30,495.5352763629285,198.9687763350613
C1,ch3_wp_energy_4,30,268.658724796444,148.4570969072843
C1,ch3_wp_energy_5,30,128.98996312826898,88.06319712812106
C1,ch3_wp_energy_6,30,35.44558814585169,11.695601692821135
C1,ch3_wp_energy_7,30,15.650898554489325,4.088566517974417
C1,ch3_wp_energy_8,30,10.194928424274998,1.2264255492698624
C1,ch3_wp_energy_ratio_1,30,0.996961798661767,0.0007433880317120334
C1,ch3_wp_energy_ratio_2,30,0.00283194093514835,0.0006944983342799249
C1,ch3_wp_energy_ratio_3,30,0.00011066375768200001,4.590382178430002e-05
C1,ch3_wp_energy_ratio_4,30,6.265314474099116e-05,1.8484905918522166e-05
C1,ch3_wp_energy_ratio_5,30,2.8889410465006315e-05,1.118219807786733e-05
C1,ch3_wp_energy_ratio_6,30,9.196042555701853e-06,2.1267315688986364e-06
C1,ch3_wp_energy_ratio_7,30,3.861712180182324e-06,7.046158423925346e-07
C1,ch3_wp_energy_ratio_8,30,2.325230495257274e-06,5.648603347428333e-07
C1,ch3_wp_entropy,30,0.021647181899625202,0.004499733717025625
C1,ch3_wp_energy_max_ratio,30,0.996961798661767,0.0007433880317120334
C1,ch4_mean,30,-0.0014455517689532,0.00346634858346952
C1,ch4_std,30,0.08353685222572971,0.006537867485235077
C1,ch4_var,30,0.0069784240219354,0.0011035824775798503
C1,ch4_min,30,-0.402,0.03049999999999997
C1,ch4_max,30,0.398,0.06224999999999997
C1,ch4_ptp,30,0.808,0.06750000000000012
C1,ch4_median,30,-0.001,0.003
C1,ch4_q25,30,-0.057,0.003999999999999997
C1,ch4_q75,30,0.055,0.007000000000000006
C1,ch4_iqr,30,0.109,0.008999999999999897
C1,ch4_rms,30,0.0844648311170441,0.006467504762836446
C1,ch4_mean_abs,30,0.06621436854362134,0.004920416976712014
C1,ch4_skew,30,-0.00055082890469035,0.023586479659558648
C1,ch4_kurtosis,30,0.19885969089862932,0.09406543397121639
C1,ch4_crest_factor,30,4.837851467854554,0.4978575270572234
C1,ch4_shape_factor,30,1.2657434439787827,0.0071964980191152605
C1,ch4_impulse_factor,30,6.125985568379589,0.6619009446313893
C1,ch4_margin_factor,30,7.267960955362748,0.8086805976214615
C1,ch4_dom_freq_norm,30,0.31982421875,0.07953457921755808
C1,ch4_dom_power,30,1.441308253615421,0.22134365087853802
C1,ch4_spec_centroid,30,0.19797391207909515,0.02382506660038794
C1,ch4_rms_freq,30,0.2494788261223152,0.020460789099300825
C1,ch4_spec_entropy,30,4.725223631347818,0.20724201711888224
C1,ch4_band_power_q1,30,6.674527197386897,0.8528956616665457
C1,ch4_band_power_q2,30,0.8539813636597993,0.19155187714077415
C1,ch4_band_power_q3,30,5.276873922550457,0.5280116739640084
C1,ch4_band_power_q4,30,1.8449871994063032,1.9017397814997354
C1,ch4_band_ratio_q4_q1,30,0.3390271895028637,0.2740510117260864
C1,ch4_total_power,30,14.19311397580353,2.254299205694295
C1,ch4_wp_energy_1,30,534.6501841930427,128.90863546504227
C1,ch4_wp_energy_2,30,190.11560098710925,44.43778466562367
C1,ch4_wp_energy_3,30,122.70961845262373,17.52826961003052
C1,ch4_wp_energy_4,30,32.86465010283642,6.092817291833423
C1,ch4_wp_energy_5,30,139.04941522705974,19.754645651835574
C1,ch4_wp_energy_6,30,433.980419288545,94.59690387354999
C1,ch4_wp_energy_7,30,132.3056222165402,115.17136125158683
C1,ch4_wp_energy_8,30,19.872905845324446,3.6726662925379294
C1,ch4_wp_energy_ratio_1,30,0.31468869367444235,0.07251160162784531
C1,ch4_wp_energy_ratio_2,30,0.11711655006204966,0.01834786312036113
C1,ch4_wp_energy_ratio_3,30,0.07934676424856305,0.0036250566469746698
C1,ch4_wp_energy_ratio_4,30,0.020788578782716352,0.0012620551904069244
C1,ch4_wp_energy_ratio_5,30,0.09438599559147104,0.017673653321116298
C1,ch4_wp_energy_ratio_6,30,0.2662955920533151,0.023687637273954898
C1,ch4_wp_energy_ratio_7,30,0.0998927581504417,0.06363482337645765
C1,ch4_wp_energy_ratio_8,30,0.0118707707248746,0.001284615266981726
C1,ch4_wp_entropy,30,1.7403473118373638,0.08353091671752244
C1,ch4_wp_energy_max_ratio,30,0.32061538995341254,0.07365614555627015
C1,ch5_mean,30,-0.0046960753811508,0.006803149219262725
C1,ch5_std,30,0.08155608983277016,0.006741376485750197
C1,ch5_var,30,0.00665143835906475,0.0010790225328688495
C1,ch5_min,30,-0.3665,0.045999999999999985
C1,ch5_max,30,0.352,0.044499999999999984
C1,ch5_ptp,30,0.723,0.09224999999999994
C1,ch5_median,30,-0.004,0.005999999999999999
C1,ch5_q25,30,-0.058,0.0085
C1,ch5_q75,30,0.0495,0.008
C1,ch5_iqr,30,0.1065,0.006750000000000006
C1,ch5_rms,30,0.08258064268835194,0.007055708221802862
C1,ch5_mean_abs,30,0.0652505126998385,0.0050106300869493595
C1,ch5_skew,30,-0.0193963355811909,0.014507751168383376
C1,ch5_kurtosis,30,0.1305336513558148,0.13485888464850815
C1,ch5_crest_factor,30,4.497712926468506,0.31866934522078516
C1,ch5_shape_factor,30,1.2610064284049438,0.008227379237335297
C1,ch5_impulse_factor,30,5.689451273576463,0.47310264594444895
C1,ch5_margin_factor,30,6.753253641976864,0.5737751056498279
C1,ch5_dom_freq_norm,30,0.31982421875,0.07953457921755808
C1,ch5_dom_power,30,1.4413719574123802,0.22213163130356195
C1,ch5_spec_centroid,30,0.2070604932187261,0.024625215683125506
C1,ch5_rms_freq,30,0.25777582157806955,0.021001740099942823
C1,ch5_spec_entropy,30,4.548624981032823,0.20766123790844304
C1,ch5_band_power_q1,30,5.637306168560403,0.44339397695856064
C1,ch5_band_power_q2,30,0.4759855867419859,0.25193050914241977
C1,ch5_band_power_q3,30,5.118834457656922,0.614609651776501
C1,ch5_band_power_q4,30,1.891127573386064,1.9157665839390527
C1,ch5_band_ratio_q4_q1,30,0.392040965397083,0.3254716811066061
C1,ch5_total_power,30,13.391667973470184,2.179234092069967
C1,ch5_wp_energy_1,30,475.2337305845779,64.76691799436031
C1,ch5_wp_energy_2,30,148.90785235446484,39.1846247372481
C1,ch5_wp_energy_3,30,83.56357716833682,10.313464379945103
C1,ch5_wp_energy_4,30,29.68416718459065,4.0701325483065816
C1,ch5_wp_energy_5,30,136.08115726111302,19.995400057399678
C1,ch5_wp_energy_6,30,419.23410895754085,86.94139623368142
C1,ch5_wp_energy_7,30,132.03560426069885,114.88730780114837
C1,ch5_wp_energy_8,30,23.114670762883378,4.051493111375581
C1,ch5_wp_energy_ratio_1,30,0.31488251307918,0.06316294304879816
C1,ch5_wp_energy_ratio_2,30,0.09948726140781815,0.01632181284661076
C1,ch5_wp_energy_ratio_3,30,0.05792820333885735,0.009664620966208202
C1,ch5_wp_energy_ratio_4,30,0.0201593268514689,0.0016828957364135241
C1,ch5_wp_energy_ratio_5,30,0.1030094179898076,0.01595046488626667
C1,ch5_wp_energy_ratio_6,30,0.28290924091375647,0.01851310215670987
C1,ch5_wp_energy_ratio_7,30,0.104726996822288,0.07062020996574539
C1,ch5_wp_energy_ratio_8,30,0.015618905656742552,0.0008685961740253455
C1,ch5_wp_entropy,30,1.7161980300222877,0.07657226239949821
C1,ch5_wp_energy_max_ratio,30,0.32227624576963954,0.06519659512730125
C1,ch6_mean,30,-0.006344712541176949,0.007978367575048625
C1,ch6_std,30,0.08725736365219705,0.008107465182400145
C1,ch6_var,30,0.0076139146666254,0.001429192739915524
C1,ch6_min,30,-0.431,0.05349999999999999
C1,ch6_max,30,0.3825,0.057499999999999996
C1,ch6_ptp,30,0.8155,0.11450000000000005
C1,ch6_median,30,-0.006,0.0085
C1,ch6_q25,30,-0.066,0.006750000000000006
C1,ch6_q75,30,0.053,0.011499999999999996
C1,ch6_iqr,30,0.1149999999999999,0.010000000000000092
C1,ch6_rms,30,0.0892235634097916,0.007279889465660064
C1,ch6_mean_abs,30,0.0701949750253648,0.005603379407370476
C1,ch6_skew,30,-0.024595595045306097,0.023497931674586654
C1,ch6_kurtosis,30,0.0900344404485804,0.1212356290989691
C1,ch6_crest_factor,30,4.832605886576838,0.3946375186670483
C1,ch6_shape_factor,30,1.2587856473023775,0.006601044553989244
C1,ch6_impulse_factor,30,6.08989927002208,0.5284963006127255
C1,ch6_margin_factor,30,7.212001185801832,0.6519709696248448
C1,ch6_dom_freq_norm,30,0.31982421875,0.07953457921755808
C1,ch6_dom_power,30,1.443330314314601,0.2212744944474514
C1,ch6_spec_centroid,30,0.17802282814134301,0.023348643770264327
C1,ch6_rms_freq,30,0.23732471569446456,0.018069513694948053
C1,ch6_spec_entropy,30,4.475722005641504,0.17300071859398702
C1,ch6_band_power_q1,30,7.6719819155589,1.2959200558781623
C1,ch6_band_power_q2,30,0.8014181008017469,0.26318459957810514
C1,ch6_band_power_q3,30,5.308117574615748,0.5259000048301266
C1,ch6_band_power_q4,30,1.8718313096843195,1.9095743718665947
C1,ch6_band_ratio_q4_q1,30,0.2858894507362266,0.21636547926471678
C1,ch6_total_power,30,15.325714442220383,2.945014925965012
C1,ch6_wp_energy_1,30,738.873746305831,160.89753489641282
C1,ch6_wp_energy_2,30,160.03830351331732,46.22196648702683
C1,ch6_wp_energy_3,30,111.10251375464708,19.154531053022552
C1,ch6_wp_energy_4,30,26.390868924357108,4.298088316366044
C1,ch6_wp_energy_5,30,137.24725078623385,19.22846287552011
C1,ch6_wp_energy_6,30,438.225587778384,100.50458074737031
C1,ch6_wp_energy_7,30,132.82651732239,115.47712120135077
C1,ch6_wp_energy_8,30,22.145584348402174,4.0965550423591495
C1,ch6_wp_energy_ratio_1,30,0.4113651923316324,0.07142066994392599
C1,ch6_wp_energy_ratio_2,30,0.08904094625257356,0.01568123707581212
C1,ch6_wp_energy_ratio_3,30,0.0621728564978409,0.007044214328159881
C1,ch6_wp_energy_ratio_4,30,0.0152130301714771,0.0012282326751552487
C1,ch6_wp_energy_ratio_5,30,0.08546843024482051,0.013781534337488771
C1,ch6_wp_energy_ratio_6,30,0.2402900073532517,0.023436663300463734
C1,ch6_wp_energy_ratio_7,30,0.08865982568203351,0.05641651695887528
C1,ch6_wp_energy_ratio_8,30,0.01200934455731,0.0012739404528105246
C1,ch6_wp_entropy,30,1.6249288175122767,0.0990542872395812
C1,ch6_wp_energy_max_ratio,30,0.4113651923316324,0.07142066994392599
C1,ch7_mean,30,0.11979913571715956,0.01686485650604358
C1,ch7_std,30,0.032915882185530446,0.007266250931276374
C1,ch7_var,30,0.0010834720391308499,0.00046910945244900003
C1,ch7_min,30,-0.005,1.0
C1,ch7_max,30,0.284,0.07625000000000004
C1,ch7_ptp,30,0.289,0.07625000000000004
C1,ch7_median,30,0.1135,0.016
C1,ch7_q25,30,0.1015,0.013499999999999998
C1,ch7_q75,30,0.1285,0.02124999999999999
C1,ch7_iqr,30,0.027,0.009499999999999995
C1,ch7_rms,30,0.1239976343894928,0.017423157219881094
C1,ch7_mean_abs,30,0.11981993082161921,0.01686602936745399
C1,ch7_skew,30,1.3380825264177731,0.3700963361557208
C1,ch7_kurtosis,30,4.216659562530338,1.4291838774923273
C1,ch7_crest_factor,30,2.419637306479255,0.25934514764267647
C1,ch7_shape_factor,30,1.0376700105286827,0.004018069806253299
C1,ch7_impulse_factor,30,2.5093447257133796,0.27372623068677093
C1,ch7_margin_factor,30,2.5585611147956127,0.28194787660459664
C1,ch7_dom_freq_norm,30,0.00048828125,0.0007307924583542853
C1,ch7_dom_power,30,0.12897468663959755,0.059340242470348595
C1,ch7_spec_centroid,30,0.00206371343805165,0.00021066394915462538
C1,ch7_rms_freq,30,0.00671590078819345,0.0012360003223346998
C1,ch7_spec_entropy,30,2.153480680035526,0.06789158095951464
C1,ch7_band_power_q1,30,0.40120491806931946,0.16718957702036064
C1,ch7_band_power_q2,30,5.6392091250755146e-05,1.6017293643153568e-06
C1,ch7_band_power_q3,30,4.731176188226207e-05,3.396333223120984e-06
C1,ch7_band_power_q4,30,4.0758007844477867e-05,2.8151379971044383e-06
C1,ch7_band_ratio_q4_q1,30,0.0001041261117837,3.99624310357529e-05
C1,ch7_total_power,30,0.4013502588491213,0.16719194022504258
C1,ch7_wp_energy_1,30,3366.3755171510898,954.2257260428373
C1,ch7_wp_energy_2,30,0.0033657417573182,0.0001315027027722496
C1,ch7_wp_energy_3,30,0.00337343505667225,0.00012852950741802475
C1,ch7_wp_energy_4,30,0.0025972076931375498,5.325324679375e-05
C1,ch7_wp_energy_5,30,0.0025515589208744503,0.00015497139059492517
C1,ch7_wp_energy_6,30,0.00270821525071445,0.0002082317631488498
C1,ch7_wp_energy_7,30,0.00225745646957085,0.00016564315655597482
C1,ch7_wp_energy_8,30,0.0019897542432218,0.00012331982435355004
C1,ch7_wp_energy_ratio_1,30,0.9999943808206275,1.4895502344902667e-06
C1,ch7_wp_energy_ratio_2,30,1.004090333182275e-06,2.9101873498229716e-07
C1,ch7_wp_energy_ratio_3,30,1.0018204609435676e-06,3.1480353909351663e-07
C1,ch7_wp_energy_ratio_4,30,7.688360585815899e-07,2.2516335242583546e-07
C1,ch7_wp_energy_ratio_5,30,7.582863676813287e-07,2.269970115674284e-07
C1,ch7_wp_energy_ratio_6,30,7.916086631255133e-07,2.130477406559028e-07
C1,ch7_wp_energy_ratio_7,30,6.77587571926825e-07,1.6282734575691906e-07
C1,ch7_wp_energy_ratio_8,30,5.932435794342865e-07,1.4576352298621462e-07
C1,ch7_wp_entropy,30,8.43986765290023e-05,2.0876114569578903e-05
C1,ch7_wp_energy_max_ratio,30,0.9999943808206275,1.4895502344902667e-06
C4,ch1_mean,30,3.350984919048119,0.7820104781778663
C4,ch1_std,30,2.7174525995909304,1.6251051908910732
C4,ch1_var,30,7.3958664363291575,10.500889956852799
C4,ch1_min,30,-4.6615,1.6340000000000003
C4,ch1_max,30,12.5115,5.111000000000001
C4,ch1_ptp,30,16.823999999999998,5.729499999999998
C4,ch1_median,30,2.923,0.6194999999999995
C4,ch1_q25,30,0.6964999999999999,0.9692499999999998
C4,ch1_q75,30,5.079,1.3837499999999991
C4,ch1_iqr,30,4.041499999999999,2.564750000000001
C4,ch1_rms,30,4.19149948257803,1.4435995402035697
C4,ch1_mean_abs,30,3.457939815028011,0.860147155960544
C4,ch1_skew,30,0.46991687487297523,0.21937257738161253
C4,ch1_kurtosis,30,-0.41773267098172395,0.3945583132444861
C4,ch1_crest_factor,30,2.982909510090989,0.10627939888153604
C4,ch1_shape_factor,30,1.2290439245052833,0.09963180441906938
C4,ch1_impulse_factor,30,3.6668520789674415,0.34443410345061265
C4,ch1_margin_factor,30,4.321614651804561,0.7847073489197669
C4,ch1_dom_freq_norm,30,0.00341796875,0.005126953125
C4,ch1_dom_power,30,5276.867961080971,12100.434401470255
C4,ch1_spec_centroid,30,0.01090478383141865,0.006911024307842999
C4,ch1_rms_freq,30,0.0177913685645585,0.007375357763502101
C4,ch1_spec_entropy,30,2.6068073713305537,0.6694626954816245
C4,ch1_band_power_q1,30,15049.85263014033,21643.44076247932
C4,ch1_band_power_q2,30,2.136607620671711,0.5279285824807634
C4,ch1_band_power_q3,30,0.6151300503035504,0.39852214860922386
C4,ch1_band_power_q4,30,0.1294891900440168,0.0339009624599341
C4,ch1_band_ratio_q4_q1,30,6.1934272574038254e-06,8.95245139843238e-06
C4,ch1_total_power,30,15051.783777487213,21642.78695161229
C4,ch1_wp_energy_1,30,3882251.1521560913,3026725.0716774534
C4,ch1_wp_energy_2,30,37530.19336317892,3860.468875789222
C4,ch1_wp_energy_3,30,928.8072546713921,134.70797949161886
C4,ch1_wp_energy_4,30,457.1504276033003,53.53016560192776
C4,ch1_wp_energy_5,30,68.19334737941404,37.66504008478441
C4,ch1_wp_energy_6,30,22.76566697336878,7.894977578239672
C4,ch1_wp_energy_7,30,15.496060391379821,4.196776099747169
C4,ch1_wp_energy_8,30,7.348941929960117,0.5498904930788333
C4,ch1_wp_energy_ratio_1,30,0.9902680296469455,0.0050206779406539725
C4,ch1_wp_energy_ratio_2,30,0.009350985789044499,0.0048355379107609744
C4,ch1_wp_energy_ratio_3,30,0.0002312173461464,0.000118701157289275
C4,ch1_wp_energy_ratio_4,30,0.00011673109288735001,6.216072934628983e-05
C4,ch1_wp_energy_ratio_5,30,1.2430916571714639e-05,6.916256926569336e-06
C4,ch1_wp_energy_ratio_6,30,5.5073648297738055e-06,2.7012122101266853e-06
C4,ch1_wp_energy_ratio_7,30,3.5338959461292298e-06,2.1538076479313863e-06
C4,ch1_wp_energy_ratio_8,30,1.8315939807184141e-06,9.369370230238105e-07
C4,ch1_wp_entropy,30,0.05674106648451695,0.02507304531514875
C4,ch1_wp_energy_max_ratio,30,0.9902680296469455,0.0050206779406539725
C4,ch2_mean,30,2.9621206270156675,0.7207483776036905
C4,ch2_std,30,5.547970003024604,1.4589510500048162
C4,ch2_var,30,30.78000618305142,17.89199511438098
C4,ch2_min,30,-14.352,4.481999999999999
C4,ch2_max,30,26.478499999999997,8.420000000000009
C4,ch2_ptp,30,41.3455,11.473500000000001
C4,ch2_median,30,2.362,0.7811249999999998
C4,ch2_q25,30,-0.694,0.5667500000000001
C4,ch2_q75,30,5.742,1.1317500000000003
C4,ch2_iqr,30,6.3565000000000005,1.3834999999999997
C4,ch2_rms,30,6.249788174002622,1.5929957730462405
C4,ch2_mean_abs,30,4.651893087560031,1.1777125119736356
C4,ch2_skew,30,0.6379994444505159,0.08027677417625956
C4,ch2_kurtosis,30,0.8181011977620225,0.33638789524007684
C4,ch2_crest_factor,30,4.281338894304489,0.2634491233613705
C4,ch2_shape_factor,30,1.3451358410680165,0.012275117343173214
C4,ch2_impulse_factor,30,5.74154286918427,0.4254737403744073
C4,ch2_margin_factor,30,7.0045594547162775,0.47727033005235153
C4,ch2_dom_freq_norm,30,0.02099609375,0.0056640625
C4,ch2_dom_power,30,21959.24352048171,8353.056835472893
C4,ch2_spec_centroid,30,0.0171454386265926,0.0038802674837104256
C4,ch2_rms_freq,30,0.021223777491189852,0.0027783953055563262
C4,ch2_spec_entropy,30,2.6271089635423994,0.2672571815760292
C4,ch2_band_power_q1,30,62955.12905179536,36921.95818098626
C4,ch2_band_power_q2,30,55.85217141955966,11.953088353009235
C4,ch2_band_power_q3,30,0.7696294988714473,0.4530180989588377
C4,ch2_band_power_q4,30,0.3113544114650178,0.09412691425283765
C4,ch2_band_ratio_q4_q1,30,3.7063726942844286e-06,3.0277345544618485e-06
C4,ch2_total_power,30,63014.93163105069,36914.337477202076
C4,ch2_wp_energy_1,30,8612689.042266134,4769064.270933922
C4,ch2_wp_energy_2,30,95585.67722299218,10348.437218799489
C4,ch2_wp_energy_3,30,4687.841384311047,646.9588216198645
C4,ch2_wp_energy_4,30,2884.9451141320174,597.3194642791873
C4,ch2_wp_energy_5,30,552.6847999673212,184.68952498547924
C4,ch2_wp_energy_6,30,372.44630815838457,110.05605905257005
C4,ch2_wp_energy_7,30,50.26495386207998,16.83698017132241
C4,ch2_wp_energy_8,30,22.658620741298755,5.399724536691824
C4,ch2_wp_energy_ratio_1,30,0.988278211822461,0.005082401933692249
C4,ch2_wp_energy_ratio_2,30,0.01060786622656875,0.00474190798843815
C4,ch2_wp_energy_ratio_3,30,0.00054484749013,0.0002476584360494749
C4,ch2_wp_energy_ratio_4,30,0.00032626555678790003,0.0001381201957714
C4,ch2_wp_energy_ratio_5,30,5.767137620655073e-05,1.9624763999902392e-05
C4,ch2_wp_energy_ratio_6,30,4.315766751824302e-05,2.3555781277618244e-05
