run_id,true_stage,pred_stage,p_early,p_middle,p_late
228,late,late,0.0163,0.0354,0.9483
229,late,late,0.013,0.0203,0.9667
230,late,late,0.0117,0.0154,0.9729
231,late,late,0.0103,0.0117,0.978
232,late,late,0.0097,0.0098,0.9806
233,late,late,0.009,0.0083,0.9828
234,late,late,0.0087,0.0075,0.9838
235,late,late,0.0083,0.0069,0.9848
236,late,late,0.0086,0.007,0.9844
237,late,late,0.0082,0.0065,0.9854
238,late,late,0.0083,0.0065,0.9853
239,late,late,0.0081,0.0062,0.9858
240,late,late,0.0084,0.0066,0.985
241,late,late,0.0081,0.0061,0.9858
242,late,late,0.0082,0.0062,0.9856
243,late,late,0.0081,0.006,0.9859
244,late,late,0.0082,0.0063,0.9855
245,late,late,0.008,0.006,0.986
246,late,late,0.0086,0.0064,0.9849
247,late,late,0.008,0.0059,0.9861
248,late,late,0.0081,0.0059,0.986
249,late,late,0.008,0.0058,0.9863
250,late,late,0.0083,0.0063,0.9854
251,late,late,0.008,0.0058,0.9863
252,late,late,0.0081,0.0058,0.9861
253,late,late,0.008,0.0057,0.9863
254,late,late,0.0081,0.006,0.9859
255,late,late,0.0079,0.0057,0.9864
256,late,late,0.008,0.0057,0.9863
257,late,late,0.0079,0.0056,0.9865
258,late,late,0.0078,0.0054,0.9868
259,late,late,0.0078,0.0054,0.9868
260,late,late,0.0078,0.0054,0.9868
261,late,late,0.0077,0.0053,0.9869
262,late,late,0.0077,0.0053,0.9869
263,late,late,0.0077,0.0053,0.987
264,late,late,0.0077,0.0053,0.987
265,late,late,0.0077,0.0053,0.9871
266,late,late,0.0077,0.0053,0.987
267,late,late,0.0078,0.0052,0.987
268,late,late,0.0081,0.0054,0.9866
269,late,late,0.0078,0.0053,0.9869
270,late,late,0.008,0.0054,0.9867
271,late,late,0.0079,0.0054,0.9867
272,late,late,0.008,0.0056,0.9864
273,late,late,0.0079,0.0055,0.9866
274,late,late,0.008,0.0056,0.9864
275,late,late,0.008,0.0056,0.9864
276,late,late,0.0082,0.0058,0.986
277,late,late,0.0081,0.0057,0.9862
278,late,late,0.0084,0.0059,0.9858
279,late,late,0.0093,0.0063,0.9844
280,late,late,0.0084,0.006,0.9855
281,late,late,0.0089,0.0062,0.9849
282,late,late,0.0087,0.0062,0.9851
283,late,late,0.0093,0.0068,0.9839
284,late,late,0.0088,0.0064,0.9848
285,late,late,0.0091,0.0067,0.9842
286,late,late,0.009,0.0066,0.9844
287,late,late,0.0094,0.007,0.9836
288,late,late,0.009,0.0064,0.9846
289,late,late,0.0088,0.0063,0.9849
290,late,late,0.0086,0.006,0.9854
291,late,late,0.0084,0.0059,0.9856
292,late,late,0.0083,0.0058,0.9859
293,late,late,0.0082,0.0056,0.9862
294,late,late,0.0081,0.0055,0.9864
295,late,late,0.0079,0.0054,0.9867
296,late,late,0.0079,0.0053,0.9868
297,late,late,0.0079,0.0053,0.9868
298,late,late,0.0079,0.0052,0.9868
299,late,late,0.008,0.0052,0.9867
300,late,late,0.0082,0.0053,0.9866
301,late,late,0.0081,0.0053,0.9866
302,late,late,0.0082,0.0053,0.9864
303,late,late,0.0082,0.0054,0.9864
304,late,late,0.0083,0.0054,0.9863
305,late,late,0.0083,0.0054,0.9863
306,late,late,0.0084,0.0055,0.9862
307,late,late,0.0084,0.0055,0.9862
308,late,late,0.0084,0.0055,0.9861
309,late,late,0.0084,0.0055,0.9861
310,late,late,0.0085,0.0055,0.9861
311,late,late,0.0086,0.0056,0.9858
312,late,late,0.0085,0.0055,0.986
313,late,late,0.0087,0.0056,0.9857
314,late,late,0.0087,0.0056,0.9857
315,late,late,0.009,0.0057,0.9853
