run_id,true_stage,pred_stage,p_early,p_middle,p_late
81,early,early,0.9948,0.0026,0.0026
82,early,early,0.9952,0.0024,0.0024
83,early,early,0.9948,0.0026,0.0026
84,early,early,0.9957,0.002,0.0023
85,early,early,0.9954,0.0021,0.0024
86,early,early,0.9948,0.0025,0.0026
87,early,early,0.996,0.0018,0.0022
88,early,early,0.9937,0.0034,0.003
89,early,early,0.9939,0.0032,0.0029
90,early,early,0.9915,0.0048,0.0037
91,early,early,0.9942,0.0029,0.0029
92,early,early,0.992,0.0043,0.0036
93,early,early,0.9924,0.004,0.0036
94,early,early,0.9876,0.0075,0.0049
95,early,early,0.991,0.0049,0.0041
96,middle,early,0.9869,0.0077,0.0054
97,middle,early,0.9799,0.0121,0.008
98,middle,early,0.9818,0.0111,0.0071
99,middle,early,0.9362,0.0472,0.0166
100,middle,early,0.9128,0.0661,0.0211
101,middle,early,0.8881,0.0843,0.0275
102,middle,early,0.8106,0.1555,0.0339
103,middle,early,0.8491,0.1156,0.0353
104,middle,early,0.872,0.0931,0.0349
105,middle,early,0.892,0.0723,0.0357
106,middle,early,0.9191,0.051,0.0299
107,middle,early,0.9262,0.0439,0.0299
108,middle,early,0.9554,0.028,0.0166
109,middle,early,0.9297,0.0451,0.0252
110,middle,early,0.9313,0.0439,0.0248
111,middle,early,0.9245,0.0443,0.0312
112,middle,early,0.9569,0.0246,0.0185
113,middle,early,0.9366,0.0356,0.0278
114,middle,early,0.9562,0.0226,0.0212
115,middle,early,0.9402,0.0295,0.0303
116,middle,early,0.9587,0.0206,0.0208
117,middle,early,0.948,0.0233,0.0287
118,middle,early,0.9332,0.0289,0.0379
119,middle,early,0.9739,0.0119,0.0142
120,middle,early,0.9165,0.0388,0.0447
121,middle,early,0.9377,0.0268,0.0355
122,middle,early,0.9122,0.033,0.0548
123,middle,early,0.9531,0.0175,0.0294
124,middle,early,0.8902,0.0488,0.061
125,middle,early,0.8989,0.0424,0.0587
126,middle,early,0.8183,0.0849,0.0969
127,middle,early,0.9076,0.0403,0.0522
128,middle,early,0.7883,0.1137,0.098
129,middle,early,0.5764,0.2866,0.137
130,middle,middle,0.2665,0.6209,0.1125
131,middle,middle,0.0327,0.9218,0.0455
132,middle,middle,0.0134,0.9654,0.0212
133,middle,middle,0.0059,0.9839,0.0103
134,middle,middle,0.0039,0.9892,0.0069
135,middle,middle,0.0028,0.9922,0.005
136,middle,middle,0.0024,0.9934,0.0043
137,middle,middle,0.0019,0.9947,0.0034
138,middle,middle,0.0017,0.9953,0.0031
139,middle,middle,0.0015,0.9957,0.0028
140,middle,middle,0.0016,0.9958,0.0026
141,middle,middle,0.0014,0.9961,0.0025
142,middle,middle,0.0014,0.9961,0.0025
143,middle,middle,0.0013,0.9962,0.0025
144,middle,middle,0.0014,0.9961,0.0025
145,middle,middle,0.0013,0.9964,0.0024
146,middle,middle,0.0013,0.9964,0.0024
147,middle,middle,0.0013,0.9964,0.0023
148,middle,middle,0.0013,0.9965,0.0023
149,middle,middle,0.0012,0.9966,0.0022
150,middle,middle,0.0014,0.9962,0.0024
151,middle,middle,0.0012,0.9965,0.0022
152,middle,middle,0.0012,0.9966,0.0022
153,middle,middle,0.0012,0.9966,0.0022
154,middle,middle,0.0013,0.9962,0.0025
155,middle,middle,0.0013,0.9964,0.0024
156,middle,middle,0.0013,0.9963,0.0024
157,middle,middle,0.0013,0.9963,0.0024
158,middle,middle,0.0014,0.9959,0.0026
159,middle,middle,0.0013,0.9963,0.0024
160,middle,middle,0.0012,0.9964,0.0023
161,middle,middle,0.0013,0.9959,0.0028
162,middle,middle,0.0013,0.9962,0.0026
163,middle,middle,0.0013,0.9961,0.0026
164,middle,middle,0.0012,0.9962,0.0026
165,middle,middle,0.0014,0.9955,0.0031
166,middle,middle,0.0013,0.9957,0.003
167,middle,middle,0.0014,0.9954,0.0032
168,middle,middle,0.0013,0.9952,0.0035
169,middle,middle,0.0018,0.9917,0.0065
170,middle,middle,0.0021,0.9891,0.0088
171,middle,middle,0.0028,0.9819,0.0154
172,middle,middle,0.0036,0.9715,0.0249
173,middle,middle,0.0036,0.9703,0.0261
174,middle,middle,0.0047,0.9512,0.0441
175,middle,middle,0.0085,0.8487,0.1427
176,middle,middle,0.0074,0.888,0.1046
177,middle,middle,0.0075,0.8781,0.1144
178,middle,middle,0.0072,0.8889,0.1039
179,middle,middle,0.006,0.9229,0.071
180,middle,middle,0.0039,0.9667,0.0294
181,middle,middle,0.0024,0.9864,0.0113
182,middle,middle,0.0021,0.9892,0.0087
183,middle,middle,0.0021,0.9914,0.0065
184,middle,middle,0.0017,0.9929,0.0054
185,middle,middle,0.0016,0.9941,0.0043
186,middle,middle,0.0013,0.9955,0.0032
187,middle,middle,0.0014,0.9953,0.0032
188,middle,middle,0.0012,0.9963,0.0025
189,middle,middle,0.0012,0.9963,0.0025
190,middle,middle,0.0011,0.9967,0.0022
191,middle,middle,0.0011,0.9966,0.0023
192,middle,middle,0.001,0.9971,0.0019
193,middle,middle,0.0009,0.9971,0.0019
194,middle,middle,0.0009,0.9973,0.0018
195,middle,middle,0.0008,0.9975,0.0017
196,middle,middle,0.0008,0.9976,0.0016
197,middle,middle,0.0008,0.9976,0.0016
198,middle,middle,0.0008,0.9977,0.0015
199,middle,middle,0.0007,0.9978,0.0015
200,middle,middle,0.0007,0.9978,0.0014
201,middle,middle,0.0007,0.9978,0.0014
202,middle,middle,0.0007,0.9979,0.0014
203,middle,middle,0.0007,0.9979,0.0014
204,middle,middle,0.0007,0.9978,0.0014
205,middle,middle,0.0007,0.9978,0.0014
206,middle,middle,0.0007,0.9978,0.0014
207,middle,middle,0.0007,0.9978,0.0015
208,middle,middle,0.0008,0.9977,0.0015
209,middle,middle,0.0007,0.9978,0.0015
210,middle,middle,0.0008,0.9977,0.0015
211,middle,middle,0.0008,0.9977,0.0015
212,middle,middle,0.0008,0.9976,0.0016
213,middle,middle,0.0008,0.9977,0.0015
214,middle,middle,0.0008,0.9976,0.0016
215,middle,middle,0.0008,0.9976,0.0016
216,middle,middle,0.0008,0.9976,0.0017
217,middle,middle,0.0008,0.9976,0.0016
218,middle,middle,0.0008,0.9976,0.0016
219,middle,middle,0.0008,0.9974,0.0018
220,middle,middle,0.0008,0.9974,0.0018
221,middle,middle,0.0009,0.9972,0.0019
222,middle,middle,0.0008,0.9972,0.0019
223,middle,middle,0.0009,0.9969,0.0021
224,middle,middle,0.0008,0.9972,0.002
225,late,middle,0.0009,0.9966,0.0025
226,late,middle,0.0009,0.9966,0.0025
227,late,middle,0.001,0.9953,0.0036
228,late,middle,0.0013,0.9919,0.0068
229,late,middle,0.0032,0.9556,0.0413
230,late,middle,0.0075,0.7151,0.2774
231,late,late,0.0057,0.0705,0.9238
232,late,late,0.0022,0.0073,0.9905
233,late,late,0.0015,0.0029,0.9957
234,late,late,0.0013,0.002,0.9967
235,late,late,0.0012,0.0017,0.9971
236,late,late,0.0012,0.0016,0.9972
237,late,late,0.0011,0.0015,0.9973
238,late,late,0.0011,0.0015,0.9974
239,late,late,0.0011,0.0015,0.9974
240,late,late,0.0011,0.0015,0.9974
241,late,late,0.0011,0.0015,0.9974
242,late,late,0.0011,0.0015,0.9974
243,late,late,0.0011,0.0014,0.9975
244,late,late,0.0011,0.0014,0.9974
245,late,late,0.0011,0.0014,0.9975
246,late,late,0.0011,0.0015,0.9974
247,late,late,0.0011,0.0014,0.9975
248,late,late,0.0011,0.0014,0.9975
249,late,late,0.0011,0.0014,0.9975
250,late,late,0.0011,0.0014,0.9975
251,late,late,0.0011,0.0014,0.9975
252,late,late,0.0011,0.0014,0.9975
253,late,late,0.0011,0.0014,0.9975
254,late,late,0.0011,0.0014,0.9975
255,late,late,0.0011,0.0014,0.9975
256,late,late,0.0011,0.0014,0.9975
257,late,late,0.0011,0.0014,0.9975
258,late,late,0.0011,0.0014,0.9975
259,late,late,0.0011,0.0014,0.9975
260,late,late,0.0011,0.0014,0.9975
261,late,late,0.0011,0.0014,0.9976
262,late,late,0.0011,0.0014,0.9976
263,late,late,0.0011,0.0013,0.9976
264,late,late,0.0011,0.0013,0.9976
265,late,late,0.0011,0.0013,0.9976
266,late,late,0.0011,0.0013,0.9976
267,late,late,0.0011,0.0013,0.9976
268,late,late,0.0011,0.0013,0.9976
269,late,late,0.0011,0.0014,0.9976
270,late,late,0.0011,0.0014,0.9975
271,late,late,0.0011,0.0014,0.9975
272,late,late,0.0011,0.0014,0.9975
273,late,late,0.0011,0.0014,0.9975
274,late,late,0.0011,0.0014,0.9975
275,late,late,0.0011,0.0014,0.9975
276,late,late,0.0011,0.0014,0.9975
277,late,late,0.0011,0.0014,0.9975
278,late,late,0.0011,0.0014,0.9975
279,late,late,0.0012,0.0015,0.9973
280,late,late,0.0011,0.0015,0.9974
281,late,late,0.0011,0.0014,0.9974
282,late,late,0.0011,0.0014,0.9974
283,late,late,0.0011,0.0014,0.9974
284,late,late,0.0011,0.0014,0.9974
285,late,late,0.0011,0.0014,0.9974
286,late,late,0.0011,0.0014,0.9974
287,late,late,0.0011,0.0014,0.9975
288,late,late,0.0011,0.0014,0.9975
289,late,late,0.0011,0.0014,0.9975
290,late,late,0.0011,0.0014,0.9975
291,late,late,0.0011,0.0014,0.9975
292,late,late,0.0011,0.0014,0.9975
293,late,late,0.0011,0.0013,0.9976
294,late,late,0.0011,0.0013,0.9976
295,late,late,0.0011,0.0013,0.9976
296,late,late,0.0011,0.0013,0.9976
297,late,late,0.0011,0.0013,0.9976
298,late,late,0.0011,0.0013,0.9976
299,late,late,0.0011,0.0013,0.9976
300,late,late,0.0011,0.0013,0.9976
301,late,late,0.0011,0.0013,0.9976
302,late,late,0.0011,0.0013,0.9976
303,late,late,0.0011,0.0013,0.9976
304,late,late,0.0011,0.0013,0.9976
305,late,late,0.0011,0.0013,0.9976
306,late,late,0.0011,0.0013,0.9976
307,late,late,0.0011,0.0013,0.9976
308,late,late,0.0011,0.0013,0.9976
309,late,late,0.0011,0.0013,0.9976
310,late,late,0.0011,0.0013,0.9976
311,late,late,0.0011,0.0013,0.9976
312,late,late,0.0011,0.0013,0.9976
313,late,late,0.0011,0.0013,0.9976
314,late,late,0.0011,0.0013,0.9976
315,late,late,0.0011,0.0013,0.9976
