file,tool,group,channel,path,shape,n_samples,dtype,compression,attrs,fs_measured_hz,status,status_evidence
M1T1R305C1734VB81.h5,T1,labels,wear,labels/wear,1x1,1,int32,,"{""unit"": ""micrometer""}",,primary,no documented artefact matches this channel name
M1T1R305C1734VB81.h5,T1,signals_machine,position_control_deviation_axis_x,signals_machine/position_control_deviation_axis_x,1x2206,1,float32,,"{""unit"": ""mm""}",500.0027,primary,"documented artefact scope is ['T7', 'T8']; does not name T1"
M1T1R305C1734VB81.h5,T1,signals_machine,position_control_deviation_axis_y,signals_machine/position_control_deviation_axis_y,1x2206,1,float32,,"{""unit"": ""mm""}",500.0027,primary,"documented artefact scope is ['T7', 'T8']; does not name T1"
M1T1R305C1734VB81.h5,T1,signals_machine,time_machine,signals_machine/time_machine,1x2206,1,float32,,"{""unit"": ""s""}",500.0027,primary,no documented artefact matches this channel name
M1T1R305C1734VB81.h5,T1,signals_machine,tool_position_x,signals_machine/tool_position_x,1x2206,1,float32,,"{""unit"": ""mm""}",500.0027,unresolved,possible match for documented name(s) ['position_axis']; not confirmed
M1T1R305C1734VB81.h5,T1,signals_machine,tool_position_y,signals_machine/tool_position_y,1x2206,1,float32,,"{""unit"": ""mm""}",500.0027,unresolved,possible match for documented name(s) ['position_axis']; not confirmed
M1T1R305C1734VB81.h5,T1,signals_machine,tool_position_z,signals_machine/tool_position_z,1x2206,1,float32,,"{""unit"": ""mm""}",500.0027,unresolved,possible match for documented name(s) ['position_axis']; not confirmed
M1T1R305C1734VB81.h5,T1,signals_machine,torque_axis_x,signals_machine/torque_axis_x,1x2206,1,float32,,"{""unit"": ""Nm""}",500.0027,primary,no documented artefact matches this channel name
M1T1R305C1734VB81.h5,T1,signals_machine,torque_axis_y,signals_machine/torque_axis_y,1x2206,1,float32,,"{""unit"": ""Nm""}",500.0027,primary,no documented artefact matches this channel name
M1T1R305C1734VB81.h5,T1,signals_machine,torque_axis_z,signals_machine/torque_axis_z,1x2206,1,float32,,"{""unit"": ""Nm""}",500.0027,primary,no documented artefact matches this channel name
M1T1R305C1734VB81.h5,T1,signals_machine,torque_spindle,signals_machine/torque_spindle,1x2206,1,float32,,"{""unit"": ""Nm""}",500.0027,primary,"documented artefact scope is ['T4', 'T5', 'T6']; does not name T1"
M1T1R305C1734VB81.h5,T1,signals_sensor,force_sensor_x,signals_sensor/force_sensor_x,1x110250,1,float32,gzip,"{""unit"": ""N""}",24966.0952,primary,no documented artefact matches this channel name
M1T1R305C1734VB81.h5,T1,signals_sensor,force_sensor_y,signals_sensor/force_sensor_y,1x110250,1,float32,gzip,"{""unit"": ""N""}",24966.0952,primary,no documented artefact matches this channel name
M1T1R305C1734VB81.h5,T1,signals_sensor,force_sensor_z,signals_sensor/force_sensor_z,1x110250,1,float32,gzip,"{""unit"": ""N""}",24966.0952,primary,no documented artefact matches this channel name
M1T1R305C1734VB81.h5,T1,signals_sensor,time_sensor,signals_sensor/time_sensor,1x110250,1,float32,gzip,"{""unit"": ""s""}",24966.0952,primary,no documented artefact matches this channel name
M1T1R578C3285VB141.h5,T1,labels,cumulated_tool_contact_time,labels/cumulated_tool_contact_time,1x1,1,float32,,"{""unit"": ""min""}",,primary,no documented artefact matches this channel name
M1T1R578C3285VB141.h5,T1,labels,machine,labels/machine,1x1,1,int32,,{},,primary,no documented artefact matches this channel name
M1T1R578C3285VB141.h5,T1,labels,run,labels/run,1x1,1,int32,,{},,primary,no documented artefact matches this channel name
M1T1R578C3285VB141.h5,T1,labels,tool,labels/tool,1x1,1,int32,,{},,primary,no documented artefact matches this channel name
M1T1R578C3285VB141.h5,T1,labels,wear,labels/wear,1x1,1,int32,,"{""unit"": ""micrometer""}",,primary,no documented artefact matches this channel name
M1T1R578C3285VB141.h5,T1,signals_machine,position_control_deviation_axis_x,signals_machine/position_control_deviation_axis_x,1x2206,1,float32,,"{""unit"": ""mm""}",500.0027,primary,"documented artefact scope is ['T7', 'T8']; does not name T1"
M1T1R578C3285VB141.h5,T1,signals_machine,position_control_deviation_axis_y,signals_machine/position_control_deviation_axis_y,1x2206,1,float32,,"{""unit"": ""mm""}",500.0027,primary,"documented artefact scope is ['T7', 'T8']; does not name T1"
M1T1R578C3285VB141.h5,T1,signals_machine,time_machine,signals_machine/time_machine,1x2206,1,float32,,"{""unit"": ""s""}",500.0027,primary,no documented artefact matches this channel name
M1T1R578C3285VB141.h5,T1,signals_machine,tool_position_x,signals_machine/tool_position_x,1x2206,1,float32,,"{""unit"": ""mm""}",500.0027,unresolved,possible match for documented name(s) ['position_axis']; not confirmed
M1T1R578C3285VB141.h5,T1,signals_machine,tool_position_y,signals_machine/tool_position_y,1x2206,1,float32,,"{""unit"": ""mm""}",500.0027,unresolved,possible match for documented name(s) ['position_axis']; not confirmed
M1T1R578C3285VB141.h5,T1,signals_machine,tool_position_z,signals_machine/tool_position_z,1x2206,1,float32,,"{""unit"": ""mm""}",500.0027,unresolved,possible match for documented name(s) ['position_axis']; not confirmed
M1T1R578C3285VB141.h5,T1,signals_machine,torque_axis_x,signals_machine/torque_axis_x,1x2206,1,float32,,"{""unit"": ""Nm""}",500.0027,primary,no documented artefact matches this channel name
M1T1R578C3285VB141.h5,T1,signals_machine,torque_axis_y,signals_machine/torque_axis_y,1x2206,1,float32,,"{""unit"": ""Nm""}",500.0027,primary,no documented artefact matches this channel name
M1T1R578C3285VB141.h5,T1,signals_machine,torque_axis_z,signals_machine/torque_axis_z,1x2206,1,float32,,"{""unit"": ""Nm""}",500.0027,primary,no documented artefact matches this channel name
M1T1R578C3285VB141.h5,T1,signals_machine,torque_spindle,signals_machine/torque_spindle,1x2206,1,float32,,"{""unit"": ""Nm""}",500.0027,primary,"documented artefact scope is ['T4', 'T5', 'T6']; does not name T1"
M1T1R578C3285VB141.h5,T1,signals_sensor,force_sensor_x,signals_sensor/force_sensor_x,1x110250,1,float32,gzip,"{""unit"": ""N""}",24966.0952,primary,no documented artefact matches this channel name
M1T1R578C3285VB141.h5,T1,signals_sensor,force_sensor_y,signals_sensor/force_sensor_y,1x110250,1,float32,gzip,"{""unit"": ""N""}",24966.0952,primary,no documented artefact matches this channel name
M1T1R578C3285VB141.h5,T1,signals_sensor,force_sensor_z,signals_sensor/force_sensor_z,1x110250,1,float32,gzip,"{""unit"": ""N""}",24966.0952,primary,no documented artefact matches this channel name
M1T1R578C3285VB141.h5,T1,signals_sensor,time_sensor,signals_sensor/time_sensor,1x110250,1,float32,gzip,"{""unit"": ""s""}",24966.0952,primary,no documented artefact matches this channel name
M1T2R1C12VB3.h5,T2,labels,cumulated_tool_contact_time,labels/cumulated_tool_contact_time,1x1,1,float32,,"{""unit"": ""min""}",,primary,no documented artefact matches this channel name
M1T2R1C12VB3.h5,T2,labels,machine,labels/machine,1x1,1,int32,,{},,primary,no documented artefact matches this channel name
M1T2R1C12VB3.h5,T2,labels,run,labels/run,1x1,1,int32,,{},,primary,no documented artefact matches this channel name
M1T2R1C12VB3.h5,T2,labels,tool,labels/tool,1x1,1,int32,,{},,primary,no documented artefact matches this channel name
M1T2R1C12VB3.h5,T2,labels,wear,labels/wear,1x1,1,int32,,"{""unit"": ""micrometer""}",,primary,no documented artefact matches this channel name
M1T2R1C12VB3.h5,T2,signals_machine,position_control_deviation_axis_x,signals_machine/position_control_deviation_axis_x,1x2205,1,float32,,"{""unit"": ""mm""}",500.0018,primary,"documented artefact scope is ['T7', 'T8']; does not name T2"
M1T2R1C12VB3.h5,T2,signals_machine,position_control_deviation_axis_y,signals_machine/position_control_deviation_axis_y,1x2205,1,float32,,"{""unit"": ""mm""}",500.0018,primary,"documented artefact scope is ['T7', 'T8']; does not name T2"
M1T2R1C12VB3.h5,T2,signals_machine,time_machine,signals_machine/time_machine,1x2205,1,float32,,"{""unit"": ""s""}",500.0018,primary,no documented artefact matches this channel name
M1T2R1C12VB3.h5,T2,signals_machine,tool_position_x,signals_machine/tool_position_x,1x2205,1,float32,,"{""unit"": ""mm""}",500.0018,unresolved,possible match for documented name(s) ['position_axis']; not confirmed
M1T2R1C12VB3.h5,T2,signals_machine,tool_position_y,signals_machine/tool_position_y,1x2205,1,float32,,"{""unit"": ""mm""}",500.0018,unresolved,possible match for documented name(s) ['position_axis']; not confirmed
M1T2R1C12VB3.h5,T2,signals_machine,tool_position_z,signals_machine/tool_position_z,1x2205,1,float32,,"{""unit"": ""mm""}",500.0018,unresolved,possible match for documented name(s) ['position_axis']; not confirmed
M1T2R1C12VB3.h5,T2,signals_machine,torque_axis_x,signals_machine/torque_axis_x,1x2205,1,float32,,"{""unit"": ""Nm""}",500.0018,primary,no documented artefact matches this channel name
M1T2R1C12VB3.h5,T2,signals_machine,torque_axis_y,signals_machine/torque_axis_y,1x2205,1,float32,,"{""unit"": ""Nm""}",500.0018,primary,no documented artefact matches this channel name
M1T2R1C12VB3.h5,T2,signals_machine,torque_axis_z,signals_machine/torque_axis_z,1x2205,1,float32,,"{""unit"": ""Nm""}",500.0018,primary,no documented artefact matches this channel name
M1T2R1C12VB3.h5,T2,signals_machine,torque_spindle,signals_machine/torque_spindle,1x2205,1,float32,,"{""unit"": ""Nm""}",500.0018,primary,"documented artefact scope is ['T4', 'T5', 'T6']; does not name T2"
M1T2R1C12VB3.h5,T2,signals_sensor,force_sensor_x,signals_sensor/force_sensor_x,1x110250,1,float32,gzip,"{""unit"": ""N""}",24966.0952,primary,no documented artefact matches this channel name
M1T2R1C12VB3.h5,T2,signals_sensor,force_sensor_y,signals_sensor/force_sensor_y,1x110250,1,float32,gzip,"{""unit"": ""N""}",24966.0952,primary,no documented artefact matches this channel name
M1T2R1C12VB3.h5,T2,signals_sensor,force_sensor_z,signals_sensor/force_sensor_z,1x110250,1,float32,gzip,"{""unit"": ""N""}",24966.0952,primary,no documented artefact matches this channel name
M1T2R1C12VB3.h5,T2,signals_sensor,time_sensor,signals_sensor/time_sensor,1x110250,1,float32,gzip,"{""unit"": ""s""}",24966.0952,primary,no documented artefact matches this channel name
M1T2R305C1714VB75.h5,T2,labels,cumulated_tool_contact_time,labels/cumulated_tool_contact_time,1x1,1,float32,,"{""unit"": ""min""}",,primary,no documented artefact matches this channel name
M1T2R305C1714VB75.h5,T2,labels,machine,labels/machine,1x1,1,int32,,{},,primary,no documented artefact matches this channel name
M1T2R305C1714VB75.h5,T2,labels,run,labels/run,1x1,1,int32,,{},,primary,no documented artefact matches this channel name
M1T2R305C1714VB75.h5,T2,labels,tool,labels/tool,1x1,1,int32,,{},,primary,no documented artefact matches this channel name
M1T2R305C1714VB75.h5,T2,labels,wear,labels/wear,1x1,1,int32,,"{""unit"": ""micrometer""}",,primary,no documented artefact matches this channel name
M1T2R305C1714VB75.h5,T2,signals_machine,position_control_deviation_axis_x,signals_machine/position_control_deviation_axis_x,1x2206,1,float32,,"{""unit"": ""mm""}",500.0027,primary,"documented artefact scope is ['T7', 'T8']; does not name T2"
M1T2R305C1714VB75.h5,T2,signals_machine,position_control_deviation_axis_y,signals_machine/position_control_deviation_axis_y,1x2206,1,float32,,"{""unit"": ""mm""}",500.0027,primary,"documented artefact scope is ['T7', 'T8']; does not name T2"
M1T2R305C1714VB75.h5,T2,signals_machine,time_machine,signals_machine/time_machine,1x2206,1,float32,,"{""unit"": ""s""}",500.0027,primary,no documented artefact matches this channel name
M1T2R305C1714VB75.h5,T2,signals_machine,tool_position_x,signals_machine/tool_position_x,1x2206,1,float32,,"{""unit"": ""mm""}",500.0027,unresolved,possible match for documented name(s) ['position_axis']; not confirmed
M1T2R305C1714VB75.h5,T2,signals_machine,tool_position_y,signals_machine/tool_position_y,1x2206,1,float32,,"{""unit"": ""mm""}",500.0027,unresolved,possible match for documented name(s) ['position_axis']; not confirmed
M1T2R305C1714VB75.h5,T2,signals_machine,tool_position_z,signals_machine/tool_position_z,1x2206,1,float32,,"{""unit"": ""mm""}",500.0027,unresolved,possible match for documented name(s) ['position_axis']; not confirmed
M1T2R305C1714VB75.h5,T2,signals_machine,torque_axis_x,signals_machine/torque_axis_x,1x2206,1,float32,,"{""unit"": ""Nm""}",500.0027,primary,no documented artefact matches this channel name
M1T2R305C1714VB75.h5,T2,signals_machine,torque_axis_y,signals_machine/torque_axis_y,1x2206,1,float32,,"{""unit"": ""Nm""}",500.0027,primary,no documented artefact matches this channel name
M1T2R305C1714VB75.h5,T2,signals_machine,torque_axis_z,signals_machine/torque_axis_z,1x2206,1,float32,,"{""unit"": ""Nm""}",500.0027,primary,no documented artefact matches this channel name
M1T2R305C1714VB75.h5,T2,signals_machine,torque_spindle,signals_machine/torque_spindle,1x2206,1,float32,,"{""unit"": ""Nm""}",500.0027,primary,"documented artefact scope is ['T4', 'T5', 'T6']; does not name T2"
M1T2R305C1714VB75.h5,T2,signals_sensor,force_sensor_x,signals_sensor/force_sensor_x,1x110250,1,float32,gzip,"{""unit"": ""N""}",24966.0952,primary,no documented artefact matches this channel name
M1T2R305C1714VB75.h5,T2,signals_sensor,force_sensor_y,signals_sensor/force_sensor_y,1x110250,1,float32,gzip,"{""unit"": ""N""}",24966.0952,primary,no documented artefact matches this channel name
M1T2R305C1714VB75.h5,T2,signals_sensor,force_sensor_z,signals_sensor/force_sensor_z,1x110250,1,float32,gzip,"{""unit"": ""N""}",24966.0952,primary,no documented artefact matches this channel name
M1T2R305C1714VB75.h5,T2,signals_sensor,time_sensor,signals_sensor/time_sensor,1x110250,1,float32,gzip,"{""unit"": ""s""}",24966.0952,primary,no documented artefact matches this channel name
M1T2R578C3247VB126.h5,T2,labels,cumulated_tool_contact_time,labels/cumulated_tool_contact_time,1x1,1,float32,,"{""unit"": ""min""}",,primary,no documented artefact matches this channel name
M1T2R578C3247VB126.h5,T2,labels,machine,labels/machine,1x1,1,int32,,{},,primary,no documented artefact matches this channel name
M1T2R578C3247VB126.h5,T2,labels,run,labels/run,1x1,1,int32,,{},,primary,no documented artefact matches this channel name
M1T2R578C3247VB126.h5,T2,labels,tool,labels/tool,1x1,1,int32,,{},,primary,no documented artefact matches this channel name
M1T2R578C3247VB126.h5,T2,labels,wear,labels/wear,1x1,1,int32,,"{""unit"": ""micrometer""}",,primary,no documented artefact matches this channel name
M1T2R578C3247VB126.h5,T2,signals_machine,position_control_deviation_axis_x,signals_machine/position_control_deviation_axis_x,1x2206,1,float32,,"{""unit"": ""mm""}",500.0027,primary,"documented artefact scope is ['T7', 'T8']; does not name T2"
M1T2R578C3247VB126.h5,T2,signals_machine,position_control_deviation_axis_y,signals_machine/position_control_deviation_axis_y,1x2206,1,float32,,"{""unit"": ""mm""}",500.0027,primary,"documented artefact scope is ['T7', 'T8']; does not name T2"
M1T2R578C3247VB126.h5,T2,signals_machine,time_machine,signals_machine/time_machine,1x2206,1,float32,,"{""unit"": ""s""}",500.0027,primary,no documented artefact matches this channel name
M1T2R578C3247VB126.h5,T2,signals_machine,tool_position_x,signals_machine/tool_position_x,1x2206,1,float32,,"{""unit"": ""mm""}",500.0027,unresolved,possible match for documented name(s) ['position_axis']; not confirmed
M1T2R578C3247VB126.h5,T2,signals_machine,tool_position_y,signals_machine/tool_position_y,1x2206,1,float32,,"{""unit"": ""mm""}",500.0027,unresolved,possible match for documented name(s) ['position_axis']; not confirmed
M1T2R578C3247VB126.h5,T2,signals_machine,tool_position_z,signals_machine/tool_position_z,1x2206,1,float32,,"{""unit"": ""mm""}",500.0027,unresolved,possible match for documented name(s) ['position_axis']; not confirmed
M1T2R578C3247VB126.h5,T2,signals_machine,torque_axis_x,signals_machine/torque_axis_x,1x2206,1,float32,,"{""unit"": ""Nm""}",500.0027,primary,no documented artefact matches this channel name
M1T2R578C3247VB126.h5,T2,signals_machine,torque_axis_y,signals_machine/torque_axis_y,1x2206,1,float32,,"{""unit"": ""Nm""}",500.0027,primary,no documented artefact matches this channel name
M1T2R578C3247VB126.h5,T2,signals_machine,torque_axis_z,signals_machine/torque_axis_z,1x2206,1,float32,,"{""unit"": ""Nm""}",500.0027,primary,no documented artefact matches this channel name
M1T2R578C3247VB126.h5,T2,signals_machine,torque_spindle,signals_machine/torque_spindle,1x2206,1,float32,,"{""unit"": ""Nm""}",500.0027,primary,"documented artefact scope is ['T4', 'T5', 'T6']; does not name T2"
M1T2R578C3247VB126.h5,T2,signals_sensor,force_sensor_x,signals_sensor/force_sensor_x,1x110250,1,float32,gzip,"{""unit"": ""N""}",24966.0952,primary,no documented artefact matches this channel name
M1T2R578C3247VB126.h5,T2,signals_sensor,force_sensor_y,signals_sensor/force_sensor_y,1x110250,1,float32,gzip,"{""unit"": ""N""}",24966.0952,primary,no documented artefact matches this channel name
M1T2R578C3247VB126.h5,T2,signals_sensor,force_sensor_z,signals_sensor/force_sensor_z,1x110250,1,float32,gzip,"{""unit"": ""N""}",24966.0952,primary,no documented artefact matches this channel name
M1T2R578C3247VB126.h5,T2,signals_sensor,time_sensor,signals_sensor/time_sensor,1x110250,1,float32,gzip,"{""unit"": ""s""}",24966.0952,primary,no documented artefact matches this channel name
M1T3R1C12VB3.h5,T3,labels,cumulated_tool_contact_time,labels/cumulated_tool_contact_time,1x1,1,float32,,"{""unit"": ""min""}",,primary,no documented artefact matches this channel name
M1T3R1C12VB3.h5,T3,labels,machine,labels/machine,1x1,1,int32,,{},,primary,no documented artefact matches this channel name
M1T3R1C12VB3.h5,T3,labels,run,labels/run,1x1,1,int32,,{},,primary,no documented artefact matches this channel name
M1T3R1C12VB3.h5,T3,labels,tool,labels/tool,1x1,1,int32,,{},,primary,no documented artefact matches this channel name
M1T3R1C12VB3.h5,T3,labels,wear,labels/wear,1x1,1,int32,,"{""unit"": ""micrometer""}",,primary,no documented artefact matches this channel name
M1T3R1C12VB3.h5,T3,signals_machine,position_control_deviation_axis_x,signals_machine/position_control_deviation_axis_x,1x2206,1,float32,,"{""unit"": ""mm""}",500.0027,primary,"documented artefact scope is ['T7', 'T8']; does not name T3"
M1T3R1C12VB3.h5,T3,signals_machine,position_control_deviation_axis_y,signals_machine/position_control_deviation_axis_y,1x2206,1,float32,,"{""unit"": ""mm""}",500.0027,primary,"documented artefact scope is ['T7', 'T8']; does not name T3"
M1T3R1C12VB3.h5,T3,signals_machine,time_machine,signals_machine/time_machine,1x2206,1,float32,,"{""unit"": ""s""}",500.0027,primary,no documented artefact matches this channel name
M1T3R1C12VB3.h5,T3,signals_machine,tool_position_x,signals_machine/tool_position_x,1x2206,1,float32,,"{""unit"": ""mm""}",500.0027,unresolved,possible match for documented name(s) ['position_axis']; not confirmed
M1T3R1C12VB3.h5,T3,signals_machine,tool_position_y,signals_machine/tool_position_y,1x2206,1,float32,,"{""unit"": ""mm""}",500.0027,unresolved,possible match for documented name(s) ['position_axis']; not confirmed
M1T3R1C12VB3.h5,T3,signals_machine,tool_position_z,signals_machine/tool_position_z,1x2206,1,float32,,"{""unit"": ""mm""}",500.0027,unresolved,possible match for documented name(s) ['position_axis']; not confirmed
M1T3R1C12VB3.h5,T3,signals_machine,torque_axis_x,signals_machine/torque_axis_x,1x2206,1,float32,,"{""unit"": ""Nm""}",500.0027,primary,no documented artefact matches this channel name
M1T3R1C12VB3.h5,T3,signals_machine,torque_axis_y,signals_machine/torque_axis_y,1x2206,1,float32,,"{""unit"": ""Nm""}",500.0027,primary,no documented artefact matches this channel name
M1T3R1C12VB3.h5,T3,signals_machine,torque_axis_z,signals_machine/torque_axis_z,1x2206,1,float32,,"{""unit"": ""Nm""}",500.0027,primary,no documented artefact matches this channel name
M1T3R1C12VB3.h5,T3,signals_machine,torque_spindle,signals_machine/torque_spindle,1x2206,1,float32,,"{""unit"": ""Nm""}",500.0027,primary,"documented artefact scope is ['T4', 'T5', 'T6']; does not name T3"
M1T3R1C12VB3.h5,T3,signals_sensor,force_sensor_x,signals_sensor/force_sensor_x,1x110250,1,float32,gzip,"{""unit"": ""N""}",24966.0952,primary,no documented artefact matches this channel name
M1T3R1C12VB3.h5,T3,signals_sensor,force_sensor_y,signals_sensor/force_sensor_y,1x110250,1,float32,gzip,"{""unit"": ""N""}",24966.0952,primary,no documented artefact matches this channel name
M1T3R1C12VB3.h5,T3,signals_sensor,force_sensor_z,signals_sensor/force_sensor_z,1x110250,1,float32,gzip,"{""unit"": ""N""}",24966.0952,primary,no documented artefact matches this channel name
M1T3R1C12VB3.h5,T3,signals_sensor,time_sensor,signals_sensor/time_sensor,1x110250,1,float32,gzip,"{""unit"": ""s""}",24966.0952,primary,no documented artefact matches this channel name
M1T3R319C1816VB76.h5,T3,labels,cumulated_tool_contact_time,labels/cumulated_tool_contact_time,1x1,1,float32,,"{""unit"": ""min""}",,primary,no documented artefact matches this channel name
M1T3R319C1816VB76.h5,T3,labels,machine,labels/machine,1x1,1,int32,,{},,primary,no documented artefact matches this channel name
M1T3R319C1816VB76.h5,T3,labels,run,labels/run,1x1,1,int32,,{},,primary,no documented artefact matches this channel name
M1T3R319C1816VB76.h5,T3,labels,tool,labels/tool,1x1,1,int32,,{},,primary,no documented artefact matches this channel name
M1T3R319C1816VB76.h5,T3,labels,wear,labels/wear,1x1,1,int32,,"{""unit"": ""micrometer""}",,primary,no documented artefact matches this channel name
M1T3R319C1816VB76.h5,T3,signals_machine,position_control_deviation_axis_x,signals_machine/position_control_deviation_axis_x,1x2206,1,float32,,"{""unit"": ""mm""}",500.0027,primary,"documented artefact scope is ['T7', 'T8']; does not name T3"
M1T3R319C1816VB76.h5,T3,signals_machine,position_control_deviation_axis_y,signals_machine/position_control_deviation_axis_y,1x2206,1,float32,,"{""unit"": ""mm""}",500.0027,primary,"documented artefact scope is ['T7', 'T8']; does not name T3"
M1T3R319C1816VB76.h5,T3,signals_machine,time_machine,signals_machine/time_machine,1x2206,1,float32,,"{""unit"": ""s""}",500.0027,primary,no documented artefact matches this channel name
M1T3R319C1816VB76.h5,T3,signals_machine,tool_position_x,signals_machine/tool_position_x,1x2206,1,float32,,"{""unit"": ""mm""}",500.0027,unresolved,possible match for documented name(s) ['position_axis']; not confirmed
M1T3R319C1816VB76.h5,T3,signals_machine,tool_position_y,signals_machine/tool_position_y,1x2206,1,float32,,"{""unit"": ""mm""}",500.0027,unresolved,possible match for documented name(s) ['position_axis']; not confirmed
M1T3R319C1816VB76.h5,T3,signals_machine,tool_position_z,signals_machine/tool_position_z,1x2206,1,float32,,"{""unit"": ""mm""}",500.0027,unresolved,possible match for documented name(s) ['position_axis']; not confirmed
M1T3R319C1816VB76.h5,T3,signals_machine,torque_axis_x,signals_machine/torque_axis_x,1x2206,1,float32,,"{""unit"": ""Nm""}",500.0027,primary,no documented artefact matches this channel name
M1T3R319C1816VB76.h5,T3,signals_machine,torque_axis_y,signals_machine/torque_axis_y,1x2206,1,float32,,"{""unit"": ""Nm""}",500.0027,primary,no documented artefact matches this channel name
M1T3R319C1816VB76.h5,T3,signals_machine,torque_axis_z,signals_machine/torque_axis_z,1x2206,1,float32,,"{""unit"": ""Nm""}",500.0027,primary,no documented artefact matches this channel name
M1T3R319C1816VB76.h5,T3,signals_machine,torque_spindle,signals_machine/torque_spindle,1x2206,1,float32,,"{""unit"": ""Nm""}",500.0027,primary,"documented artefact scope is ['T4', 'T5', 'T6']; does not name T3"
M1T3R319C1816VB76.h5,T3,signals_sensor,force_sensor_x,signals_sensor/force_sensor_x,1x110250,1,float32,gzip,"{""unit"": ""N""}",24966.0952,primary,no documented artefact matches this channel name
M1T3R319C1816VB76.h5,T3,signals_sensor,force_sensor_y,signals_sensor/force_sensor_y,1x110250,1,float32,gzip,"{""unit"": ""N""}",24966.0952,primary,no documented artefact matches this channel name
M1T3R319C1816VB76.h5,T3,signals_sensor,force_sensor_z,signals_sensor/force_sensor_z,1x110250,1,float32,gzip,"{""unit"": ""N""}",24966.0952,primary,no documented artefact matches this channel name
